,Tm,BA_against,OBP_against,SLG_against,OPS_against,BAbip_against,HR%_against,p_SO%,p_BB%,p_EV,p_HardH%,p_LD%,p_GB%,p_FB%,p_GB/FB,p_WPA,p_RE24,RA/G,DefEff,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,RE24,RS%,SB%,XBT%
1,ARI,0.275,0.348,0.454,0.801,0.323,3.10%,20.50%,9.40%,89.6,42.50%,28.00%,45.70%,18.60%,0.87,-11.8,-142.3,5.49,0.665,6118,4354,1663,101,143,0.983,-31,-3,-24,2,11,0.334,91,0.315,0.171,3.00%,22.80%,7.40%,89.6,41.50%,26.20%,48.40%,18.60%,0.97,25.10%,52.60%,22.30%,-0.4,2.4,31%,82%,43%
2,ATL,0.256,0.328,0.416,0.744,0.296,2.80%,19.60%,8.80%,89.6,41.80%,25.40%,44.30%,21.70%,0.83,-2.9,-71.5,4.84,0.692,6009,4343,1565,101,134,0.983,10,1,-14,-1,-8,0.316,88,0.305,0.13,2.00%,20.00%,8.10%,88.6,36.40%,27.10%,46.70%,18.00%,0.92,25.70%,52.70%,21.60%,-9.6,-66,28%,69%,38%
3,BAL,0.258,0.328,0.421,0.75,0.301,3.00%,20.40%,8.90%,89.1,40.00%,25.30%,45.20%,20.80%,0.84,6.5,17.3,4.41,0.688,5955,4296,1579,80,165,0.987,-11,-1,1,3,5,0.331,101,0.291,0.188,4.20%,21.70%,7.70%,90,42.60%,23.80%,42.70%,23.80%,0.76,30.40%,50.50%,19.20%,1.6,14.3,29%,59%,39%
4,BOS,0.246,0.314,0.397,0.711,0.295,2.90%,22.40%,8.10%,88.5,37.80%,23.00%,41.40%,25.80%,0.73,3.4,54.7,4.28,0.695,5821,4319,1427,75,139,0.987,21,2,69,0,-1,0.354,113,0.32,0.179,3.30%,18.40%,8.80%,89.9,41.00%,24.70%,44.80%,22.00%,0.82,31.30%,49.50%,19.20%,8.6,136.7,33%,78%,43%
5,CHC,0.212,0.285,0.348,0.633,0.257,2.80%,24.30%,8.30%,88.8,38.70%,25.50%,46.60%,19.80%,0.91,18.2,169.6,3.43,0.728,6115,4379,1635,101,116,0.983,96,9,107,1,-2,0.342,104,0.302,0.173,3.10%,21.10%,10.40%,88.5,38.50%,26.30%,42.00%,22.20%,0.75,33.10%,49.50%,17.40%,4.3,97.5,31%,66%,43%
6,CHW,0.257,0.326,0.419,0.746,0.3,3.00%,20.50%,8.40%,88.9,38.10%,26.20%,42.80%,22.30%,0.77,-1.2,3.7,4.41,0.687,5971,4340,1536,95,148,0.984,2,0,-2,-2,0,0.32,99,0.304,0.153,2.70%,21.00%,7.40%,88.9,37.80%,25.50%,45.70%,20.30%,0.86,29.60%,48.90%,21.50%,-1.5,-33.9,29%,68%,41%
7,CIN,0.263,0.345,0.456,0.801,0.294,4.10%,19.60%,10.00%,88.6,39.10%,28.20%,41.50%,21.40%,0.73,-12,-138.1,5.27,0.694,5977,4326,1549,102,142,0.983,9,1,-14,-1,2,0.323,89,0.303,0.152,2.70%,21.10%,7.40%,86.7,31.50%,28.60%,44.00%,19.20%,0.82,27.40%,53.50%,19.10%,-1,-6.2,31%,73%,37%
8,CLE,0.243,0.304,0.407,0.711,0.291,3.10%,23.20%,7.60%,88.9,38.70%,26.90%,46.80%,19.60%,0.9,11.3,86.3,4.2,0.696,6032,4335,1608,89,126,0.985,69,6,41,0,-2,0.337,97,0.304,0.168,3.00%,20.20%,8.60%,89,39.00%,27.70%,42.90%,20.70%,0.77,31.40%,50.50%,18.10%,2.3,25.7,32%,81%,45%
9,COL,0.274,0.345,0.446,0.79,0.321,2.90%,19.50%,8.70%,88.5,40.40%,26.60%,48.70%,17.70%,0.99,-11.4,-96.4,5.31,0.667,6147,4288,1749,110,148,0.982,2,0,11,0,-5,0.347,95,0.326,0.182,3.30%,21.30%,7.90%,88.7,40.30%,29.30%,43.60%,18.30%,0.81,27.10%,52.70%,20.20%,5.4,81.9,34%,63%,44%
10,DET,0.26,0.32,0.421,0.741,0.302,3.00%,20.40%,7.60%,88.7,39.10%,23.10%,44.00%,22.20%,0.81,3,1.4,4.48,0.689,5896,4284,1537,75,148,0.987,-40,-4,-57,0,4,0.335,106,0.312,0.171,3.40%,21.30%,8.10%,89.4,40.80%,25.90%,42.10%,24.60%,0.74,26.60%,51.50%,21.80%,2,29,29%,67%,34%
11,HOU,0.256,0.314,0.424,0.737,0.308,2.90%,22.60%,7.30%,88.4,38.10%,25.10%,45.40%,22.20%,0.85,5.8,20.5,4.33,0.681,6080,4404,1599,77,135,0.987,-14,-1,77,2,-7,0.325,105,0.298,0.17,3.20%,23.40%,8.90%,88.9,40.70%,24.80%,43.90%,22.70%,0.81,31.30%,51.80%,16.80%,-2.9,7.1,29%,70%,43%
