,H_name,H_at_bats,H_runs,H_hits,H_rbi,H_earned_runs,H_bases_on_balls,H_strikeouts,H_plate_appearances,H_batting_average,H_on_base_percentage,H_slugging_percentage,H_on_base_plus,H_pitches,H_strikes,H_win_probability_for_offensive_player,H_average_leverage_index,H_win_probability_added,H_win_probability_subtracted,H_base_out_runs_added,H_putouts,H_assists,H_innings_pitched,H_HR,H_strikes_by_contact,H_strikes_swinging,H_strikes_looking,H_grounded_balls,H_fly_balls,H_line_drives,H_unknown_bat_type,H_game_score,H_inherited_runners,H_inherited_score,H_win_probability_by_pitcher,H_base_out_runs_saved,H_Opp_at_bats,H_Opp_runs,H_Opp_hits,H_Opp_rbi,H_Opp_earned_runs,H_Opp_bases_on_balls,H_Opp_strikeouts,H_Opp_plate_appearances,H_Opp_batting_average,H_Opp_on_base_percentage,H_Opp_slugging_percentage,H_Opp_on_base_plus,H_Opp_pitches,H_Opp_strikes,H_Opp_win_probability_for_offensive_player,H_Opp_average_leverage_index,H_Opp_win_probability_added,H_Opp_win_probability_subtracted,H_Opp_base_out_runs_added,H_Opp_putouts,H_Opp_assists,H_Opp_innings_pitched,H_Opp_HR,H_Opp_strikes_by_contact,H_Opp_strikes_swinging,H_Opp_strikes_looking,H_Opp_grounded_balls,H_Opp_fly_balls,H_Opp_line_drives,H_Opp_unknown_bat_type,H_Opp_game_score,H_Opp_inherited_runners,H_Opp_inherited_score,H_Opp_win_probability_by_pitcher,H_Opp_base_out_runs_saved,A_name,A_at_bats,A_runs,A_hits,A_rbi,A_earned_runs,A_bases_on_balls,A_strikeouts,A_plate_appearances,A_batting_average,A_on_base_percentage,A_slugging_percentage,A_on_base_plus,A_pitches,A_strikes,A_win_probability_for_offensive_player,A_average_leverage_index,A_win_probability_added,A_win_probability_subtracted,A_base_out_runs_added,A_putouts,A_assists,A_innings_pitched,A_HR,A_strikes_by_contact,A_strikes_swinging,A_strikes_looking,A_grounded_balls,A_fly_balls,A_line_drives,A_unknown_bat_type,A_game_score,A_inherited_runners,A_inherited_score,A_win_probability_by_pitcher,A_base_out_runs_saved,A_Opp_at_bats,A_Opp_runs,A_Opp_hits,A_Opp_rbi,A_Opp_earned_runs,A_Opp_bases_on_balls,A_Opp_strikeouts,A_Opp_plate_appearances,A_Opp_batting_average,A_Opp_on_base_percentage,A_Opp_slugging_percentage,A_Opp_on_base_plus,A_Opp_pitches,A_Opp_strikes,A_Opp_win_probability_for_offensive_player,A_Opp_average_leverage_index,A_Opp_win_probability_added,A_Opp_win_probability_subtracted,A_Opp_base_out_runs_added,A_Opp_putouts,A_Opp_assists,A_Opp_innings_pitched,A_Opp_HR,A_Opp_strikes_by_contact,A_Opp_strikes_swinging,A_Opp_strikes_looking,A_Opp_grounded_balls,A_Opp_fly_balls,A_Opp_line_drives,A_Opp_unknown_bat_type,A_Opp_game_score,A_Opp_inherited_runners,A_Opp_inherited_score,A_Opp_win_probability_by_pitcher,A_Opp_base_out_runs_saved,home_win
0,TBR,31.95,3.95,6.75,3.85,3.6575,3.15,11.0,35.65,0.20665000000000006,0.28369999999999995,0.3968999999999999,0.6806,148.95,91.9,-0.008100000000000029,0.959,0.6117,,-0.4800000000000001,26.3,8.5,8.754999999999999,1.65,47.6,20.95,23.6,10.2,10.9,4.55,0.0,52.05,2.4,0.45,0.05599999999999998,0.4549999999999999,33.15,4.05,8.15,3.95,4.0409999999999995,3.9,9.35,37.7,0.24114999999999998,0.32194999999999996,0.42025000000000007,0.7423,143.25,91.6,-0.0558,0.9450000000000001,0.61225,,-0.4549999999999999,25.9,7.75,8.61,1.7,49.1,16.9,25.6,10.65,13.5,5.45,0.0,54.7,1.5,0.55,0.005850000000000017,0.4800000000000001,TOR,32.0,1.5,6.0,1.5,1.5,1.5,11.5,34.5,0.1865,0.23199999999999998,0.3075,0.54,142.5,84.5,-0.3385,0.595,0.2615,,-3.0,24.0,5.5,8.0,1.5,42.0,20.0,22.5,8.5,12.5,5.5,0.0,39.0,0.0,0.0,-0.1595,-1.5,31.5,5.5,8.0,5.0,3.94,2.5,10.0,34.0,0.243,0.2975,0.44600000000000006,0.7435,132.5,92.0,0.1365,0.8400000000000001,0.4565,,1.5,27.0,8.0,9.0,1.0,49.0,17.5,25.5,10.0,11.5,4.5,0.0,66.5,2.0,0.0,0.3395,3.0,1
1,CLE,35.5,6.0,9.0,6.0,6.0,4.0,12.5,40.0,0.2535,0.3295,0.42200000000000004,0.752,192.0,102.5,0.22799999999999998,1.065,0.956,,1.2000000000000002,27.0,9.5,9.0,3.5,57.0,19.5,26.0,9.5,13.5,5.0,0.0,32.5,5.5,2.0,-0.728,-6.2,37.5,11.0,11.5,11.0,11.0,7.5,11.5,46.5,0.3005,0.40850000000000003,0.6475,1.056,157.0,109.5,0.728,1.0150000000000001,1.3315,,6.2,27.0,8.0,9.0,0.5,53.0,21.0,35.5,14.5,13.0,4.0,0.0,49.0,4.0,2.5,-0.22799999999999998,-1.2000000000000002,NYY,34.857142857142854,6.571428571428571,9.142857142857142,6.571428571428571,6.3742857142857146,5.142857142857143,10.285714285714286,41.0,0.2527142857142857,0.34242857142857147,0.48671428571428565,0.829,150.0,99.14285714285714,0.14500000000000002,0.9628571428571427,0.7838571428571427,,1.9857142857142858,26.142857142857142,8.142857142857142,8.714285714285714,1.7142857142857142,52.142857142857146,18.0,29.0,11.571428571428571,13.857142857142858,5.428571428571429,0.0,50.0,1.7142857142857142,0.8571428571428571,-0.07299999999999998,-0.19999999999999998,33.42857142857143,4.714285714285714,7.285714285714286,4.714285714285714,4.8757142857142854,3.7142857142857144,10.571428571428571,37.57142857142857,0.21,0.29714285714285715,0.41157142857142853,0.7088571428571429,164.28571428571428,95.0,0.0734285714285714,0.9885714285714285,0.7098571428571427,,0.19999999999999998,26.571428571428573,8.714285714285714,8.857142857142858,2.4285714285714284,51.142857142857146,19.571428571428573,24.285714285714285,10.714285714285714,12.142857142857142,5.142857142857143,0.0,45.0,2.857142857142857,0.5714285714285714,-0.1447142857142857,-1.9857142857142858,0
2,OAK,32.42857142857143,4.857142857142857,7.714285714285714,4.571428571428571,4.428571428571429,3.142857142857143,7.714285714285714,36.42857142857143,0.2337142857142857,0.2948571428571429,0.4524285714285714,0.7472857142857144,151.14285714285714,92.28571428571429,0.12157142857142858,0.9514285714285714,0.6527142857142858,,0.2285714285714285,26.571428571428573,8.428571428571429,8.857142857142858,2.4285714285714284,51.285714285714285,12.714285714285714,28.285714285714285,9.714285714285714,15.428571428571429,5.142857142857143,0.0,41.142857142857146,3.142857142857143,0.8571428571428571,-0.193,-1.5999999999999999,36.42857142857143,6.285714285714286,11.0,6.285714285714286,5.911428571428572,2.4285714285714284,8.142857142857142,40.0,0.2977142857142857,0.3524285714285714,0.5352857142857143,0.8877142857142858,143.85714285714286,96.42857142857143,0.19357142857142856,0.8514285714285714,0.8397142857142856,,1.5999999999999999,26.142857142857142,8.285714285714286,8.714285714285714,2.142857142857143,58.714285714285715,14.857142857142858,23.0,11.571428571428571,16.857142857142858,7.0,0.0,47.714285714285715,2.142857142857143,0.5714285714285714,-0.12128571428571429,-0.2285714285714285,CHW,37.333333333333336,3.6666666666666665,10.333333333333334,3.6666666666666665,3.6666666666666665,2.0,9.666666666666666,39.666666666666664,0.276,0.3156666666666667,0.46466666666666673,0.7803333333333332,134.0,101.0,-0.08600000000000001,0.8666666666666667,0.6366666666666666,,-0.9333333333333335,25.0,7.0,8.333333333333334,1.0,61.666666666666664,15.333333333333334,24.0,11.333333333333334,16.333333333333332,7.666666666666667,0.0,53.333333333333336,3.6666666666666665,1.0,-0.08,0.2666666666666668,31.0,4.0,6.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,7.333333333333333,35.0,0.19200000000000003,0.26466666666666666,0.298,0.5626666666666668,154.33333333333334,85.33333333333333,0.08033333333333333,0.9733333333333333,0.5566666666666666,,-0.2666666666666668,27.0,7.333333333333333,9.0,1.6666666666666667,49.333333333333336,9.666666666666666,26.333333333333332,8.666666666666666,15.0,7.666666666666667,0.0,49.333333333333336,3.3333333333333335,0.6666666666666666,0.08600000000000001,0.9333333333333335,0
3,MIN,29.5,1.0,3.5,1.0,1.0,5.0,7.0,34.5,0.11800000000000001,0.246,0.1525,0.39849999999999997,153.0,95.0,-0.49549999999999994,1.325,0.43,,-3.7,27.0,7.5,9.0,0.5,53.0,16.0,26.5,7.5,15.0,5.5,0.0,63.0,3.0,1.0,-0.006499999999999999,1.2,33.5,3.5,6.5,3.5,2.0,4.0,6.5,37.5,0.1925,0.277,0.2535,0.5305,151.0,95.5,0.005999999999999998,1.325,0.8220000000000001,,-1.2,27.0,8.5,9.0,0.0,54.5,9.0,32.0,11.5,15.5,5.0,0.0,54.0,0.5,0.5,0.49400000000000005,3.7,HOU,33.61538461538461,4.769230769230769,9.076923076923077,4.6923076923076925,4.323076923076924,3.6923076923076925,7.3076923076923075,38.23076923076923,0.26615384615384613,0.3460769230769231,0.4378461538461539,0.7839999999999999,147.76923076923077,91.0,0.05584615384615384,0.9807692307692307,0.783846153846154,,0.16923076923076927,26.307692307692307,8.538461538461538,8.76923076923077,1.7692307692307692,52.15384615384615,13.461538461538462,25.46153846153846,12.307692307692308,14.23076923076923,5.538461538461538,0.0,53.69230769230769,1.4615384615384615,0.5384615384615384,0.05953846153846154,0.823076923076923,31.692307692307693,3.769230769230769,6.6923076923076925,3.769230769230769,3.4515384615384614,3.4615384615384617,9.76923076923077,36.15384615384615,0.20746153846153842,0.29323076923076924,0.40323076923076917,0.6964615384615385,147.92307692307693,94.0,-0.05976923076923075,1.0676923076923077,0.5997692307692307,,-0.823076923076923,26.384615384615383,9.384615384615385,8.776923076923076,1.6923076923076923,48.23076923076923,18.692307692307693,27.153846153846153,10.076923076923077,12.23076923076923,3.6923076923076925,0.0,49.53846153846154,2.8461538461538463,0.7692307692307693,-0.05561538461538465,-0.16923076923076927,0
4,CHC,31.0,0.5,4.5,0.5,0.5,2.5,8.0,35.5,0.14500000000000002,0.2535,0.22599999999999998,0.47900000000000004,148.0,86.0,-0.46900000000000003,0.98,0.36750000000000005,,-4.4,27.0,11.5,9.0,1.5,48.0,14.5,23.5,7.5,15.5,4.5,0.0,55.5,1.5,0.0,-0.031,1.4,32.0,3.5,6.5,3.5,3.5,4.0,8.5,37.5,0.20049999999999998,0.3175,0.3835,0.7015,137.5,96.5,0.03199999999999999,1.14,0.78,,-1.4,27.0,6.0,9.0,0.5,54.5,16.0,26.0,12.0,11.5,7.5,0.0,64.0,0.5,0.0,0.46849999999999997,4.4,MIA,32.8,2.4,6.0,2.4,2.4,2.4,9.6,36.4,0.17939999999999998,0.26060000000000005,0.2924,0.5534,144.8,94.0,-0.14780000000000001,0.8859999999999999,0.5157999999999999,,-2.5000000000000004,25.8,5.8,8.6,1.2,52.6,18.4,23.0,12.4,10.8,6.4,0.0,53.0,1.0,0.6,0.04719999999999998,0.86,32.6,3.8,7.0,3.6,3.8739999999999997,3.2,8.8,37.0,0.20780000000000004,0.2892,0.3774,0.6664000000000001,140.8,91.0,-0.0478,0.916,0.5436,,-0.86,27.0,10.8,9.0,0.8,52.4,19.6,19.0,8.8,15.2,6.0,0.0,58.0,0.8,0.0,0.14780000000000001,2.5000000000000004,0
5,SDP,33.5,4.666666666666667,8.166666666666666,4.333333333333333,4.4383333333333335,4.0,9.5,38.5,0.23783333333333334,0.3225,0.397,0.7195,166.83333333333334,97.16666666666667,0.0021666666666666687,0.9333333333333332,0.7559999999999999,,0.18333333333333346,26.0,7.5,8.666666666666666,0.6666666666666666,51.833333333333336,16.833333333333332,28.5,11.333333333333334,13.166666666666666,6.0,0.0,38.333333333333336,4.666666666666667,1.6666666666666667,-0.16899999999999996,-2.016666666666667,34.666666666666664,6.5,9.333333333333334,6.0,6.208333333333333,5.333333333333333,8.166666666666666,42.166666666666664,0.2603333333333333,0.36633333333333334,0.39516666666666667,0.7613333333333333,157.0,102.0,0.16833333333333333,1.12,0.7464999999999998,,2.016666666666667,26.0,7.333333333333333,8.666666666666666,1.3333333333333333,56.166666666666664,17.333333333333332,28.5,11.0,16.5,7.833333333333333,0.0,51.166666666666664,3.5,0.8333333333333334,-0.0021666666666666453,-0.18333333333333346,STL,35.666666666666664,5.333333333333333,9.0,5.333333333333333,4.666666666666667,4.0,9.0,42.0,0.24533333333333332,0.33299999999999996,0.39899999999999997,0.7316666666666666,163.0,107.33333333333333,0.007333333333333303,1.2000000000000002,0.6953333333333332,,0.7333333333333337,25.0,7.333333333333333,8.333333333333334,2.0,59.0,18.333333333333332,30.0,12.333333333333334,15.333333333333334,6.666666666666667,0.0,47.333333333333336,4.666666666666667,1.6666666666666667,-0.17399999999999996,-2.066666666666667,34.0,6.333333333333333,10.333333333333334,6.0,6.210000000000001,4.666666666666667,8.666666666666666,40.333333333333336,0.29833333333333334,0.38366666666666666,0.5216666666666666,0.9053333333333334,170.0,99.0,0.17366666666666666,1.0166666666666666,0.9920000000000001,,2.066666666666667,27.0,9.0,9.0,1.0,52.666666666666664,14.333333333333334,32.0,11.666666666666666,14.666666666666666,6.666666666666667,0.0,34.333333333333336,3.0,0.6666666666666666,-0.006000000000000005,-0.7333333333333337,0
6,ATL,34.583333333333336,4.75,8.25,4.666666666666667,4.55,3.5833333333333335,10.583333333333334,38.833333333333336,0.23600000000000002,0.30950000000000005,0.4135,0.7230833333333333,157.91666666666666,101.83333333333333,-0.05833333333333333,0.9283333333333332,0.5724166666666667,,-0.016666666666666663,27.5,8.583333333333334,9.166666666666666,1.4166666666666667,59.166666666666664,23.833333333333332,18.833333333333332,9.416666666666666,14.833333333333334,6.666666666666667,0.0,57.083333333333336,1.8333333333333333,0.4166666666666667,0.22499999999999998,1.2833333333333332,34.75,3.6666666666666665,7.583333333333333,3.6666666666666665,3.6566666666666667,3.3333333333333335,10.5,38.75,0.20908333333333332,0.283,0.36683333333333334,0.6498333333333334,159.0,101.75,-0.225,0.8700000000000001,0.48824999999999985,,-1.2833333333333332,26.833333333333332,6.666666666666667,8.924999999999999,1.3333333333333333,54.0,19.5,28.25,10.75,13.583333333333334,5.5,0.0,53.083333333333336,2.25,1.0,0.057916666666666665,0.016666666666666663,CIN,38.5,0.0,6.5,0.0,0.0,2.5,14.0,41.5,0.149,0.20850000000000002,0.1595,0.368,173.0,108.5,-0.9884999999999999,1.315,0.5734999999999999,,-6.4,30.5,5.5,10.05,1.0,56.0,24.5,28.0,12.0,12.5,7.0,0.0,72.5,1.5,0.5,0.4885,2.65,38.5,3.0,7.5,3.0,2.615,2.5,17.5,42.0,0.20450000000000002,0.271,0.322,0.5935,161.0,114.5,-0.4885,1.62,0.6214999999999999,,-2.65,33.0,10.5,11.0,0.0,61.0,29.0,24.5,8.5,12.5,6.0,0.0,72.5,2.5,0.0,0.989,6.4,1
7,LAD,33.44444444444444,5.611111111111111,8.5,5.388888888888889,5.743888888888889,4.611111111111111,9.277777777777779,38.72222222222222,0.24544444444444447,0.3364444444444445,0.4498333333333333,0.7863333333333334,147.66666666666666,97.27777777777777,0.11444444444444445,0.9466666666666667,0.6331666666666665,,1.1222222222222225,26.77777777777778,7.277777777777778,8.899999999999999,1.1666666666666667,52.111111111111114,17.333333333333332,27.833333333333332,9.222222222222221,15.222222222222221,5.722222222222222,0.0,56.111111111111114,2.1666666666666665,0.7222222222222222,0.1075,1.0111111111111104,33.0,3.6666666666666665,7.166666666666667,3.5555555555555554,3.4594444444444443,3.1666666666666665,10.722222222222221,36.5,0.21266666666666667,0.28088888888888885,0.3628333333333333,0.6437777777777778,159.11111111111111,96.22222222222223,-0.10772222222222218,0.8133333333333331,0.5588888888888889,,-1.0111111111111104,25.666666666666668,6.833333333333333,8.555555555555555,1.6666666666666667,53.388888888888886,22.38888888888889,20.72222222222222,9.222222222222221,13.222222222222221,5.833333333333333,0.0,47.27777777777778,3.0,1.0,-0.11472222222222223,-1.1222222222222225,MIL,32.0,1.0,5.5,1.0,1.0,2.0,14.0,34.0,0.1695,0.21550000000000002,0.243,0.45899999999999996,141.0,92.0,-0.456,0.7949999999999999,0.3155,,-3.9000000000000004,24.0,6.0,8.0,0.5,43.0,25.5,23.5,6.0,12.0,5.0,0.0,41.5,1.5,0.0,-0.0445,0.8,29.0,3.5,6.0,3.5,3.94,3.5,8.5,32.5,0.207,0.288,0.3445,0.633,131.0,83.0,0.0455,1.0,0.49550000000000005,,-0.8,27.0,5.5,9.0,0.5,50.0,11.5,21.5,8.0,12.5,4.5,0.0,71.0,0.0,0.0,0.4555,3.9000000000000004,1
8,OAK,32.42857142857143,4.857142857142857,7.714285714285714,4.571428571428571,4.428571428571429,3.142857142857143,7.714285714285714,36.42857142857143,0.2337142857142857,0.2948571428571429,0.4524285714285714,0.7472857142857144,151.14285714285714,92.28571428571429,0.12157142857142858,0.9514285714285714,0.6527142857142858,,0.2285714285714285,26.571428571428573,8.428571428571429,8.857142857142858,2.4285714285714284,51.285714285714285,12.714285714285714,28.285714285714285,9.714285714285714,15.428571428571429,5.142857142857143,0.0,41.142857142857146,3.142857142857143,0.8571428571428571,-0.193,-1.5999999999999999,36.42857142857143,6.285714285714286,11.0,6.285714285714286,5.911428571428572,2.4285714285714284,8.142857142857142,40.0,0.2977142857142857,0.3524285714285714,0.5352857142857143,0.8877142857142858,143.85714285714286,96.42857142857143,0.19357142857142856,0.8514285714285714,0.8397142857142856,,1.5999999999999999,26.142857142857142,8.285714285714286,8.714285714285714,2.142857142857143,58.714285714285715,14.857142857142858,23.0,11.571428571428571,16.857142857142858,7.0,0.0,47.714285714285715,2.142857142857143,0.5714285714285714,-0.12128571428571429,-0.2285714285714285,CHW,37.333333333333336,3.6666666666666665,10.333333333333334,3.6666666666666665,3.6666666666666665,2.0,9.666666666666666,39.666666666666664,0.276,0.3156666666666667,0.46466666666666673,0.7803333333333332,134.0,101.0,-0.08600000000000001,0.8666666666666667,0.6366666666666666,,-0.9333333333333335,25.0,7.0,8.333333333333334,1.0,61.666666666666664,15.333333333333334,24.0,11.333333333333334,16.333333333333332,7.666666666666667,0.0,53.333333333333336,3.6666666666666665,1.0,-0.08,0.2666666666666668,31.0,4.0,6.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,7.333333333333333,35.0,0.19200000000000003,0.26466666666666666,0.298,0.5626666666666668,154.33333333333334,85.33333333333333,0.08033333333333333,0.9733333333333333,0.5566666666666666,,-0.2666666666666668,27.0,7.333333333333333,9.0,1.6666666666666667,49.333333333333336,9.666666666666666,26.333333333333332,8.666666666666666,15.0,7.666666666666667,0.0,49.333333333333336,3.3333333333333335,0.6666666666666666,0.08600000000000001,0.9333333333333335,1
9,SDP,33.5,4.666666666666667,8.166666666666666,4.333333333333333,4.4383333333333335,4.0,9.5,38.5,0.23783333333333334,0.3225,0.397,0.7195,166.83333333333334,97.16666666666667,0.0021666666666666687,0.9333333333333332,0.7559999999999999,,0.18333333333333346,26.0,7.5,8.666666666666666,0.6666666666666666,51.833333333333336,16.833333333333332,28.5,11.333333333333334,13.166666666666666,6.0,0.0,38.333333333333336,4.666666666666667,1.6666666666666667,-0.16899999999999996,-2.016666666666667,34.666666666666664,6.5,9.333333333333334,6.0,6.208333333333333,5.333333333333333,8.166666666666666,42.166666666666664,0.2603333333333333,0.36633333333333334,0.39516666666666667,0.7613333333333333,157.0,102.0,0.16833333333333333,1.12,0.7464999999999998,,2.016666666666667,26.0,7.333333333333333,8.666666666666666,1.3333333333333333,56.166666666666664,17.333333333333332,28.5,11.0,16.5,7.833333333333333,0.0,51.166666666666664,3.5,0.8333333333333334,-0.0021666666666666453,-0.18333333333333346,STL,35.666666666666664,5.333333333333333,9.0,5.333333333333333,4.666666666666667,4.0,9.0,42.0,0.24533333333333332,0.33299999999999996,0.39899999999999997,0.7316666666666666,163.0,107.33333333333333,0.007333333333333303,1.2000000000000002,0.6953333333333332,,0.7333333333333337,25.0,7.333333333333333,8.333333333333334,2.0,59.0,18.333333333333332,30.0,12.333333333333334,15.333333333333334,6.666666666666667,0.0,47.333333333333336,4.666666666666667,1.6666666666666667,-0.17399999999999996,-2.066666666666667,34.0,6.333333333333333,10.333333333333334,6.0,6.210000000000001,4.666666666666667,8.666666666666666,40.333333333333336,0.29833333333333334,0.38366666666666666,0.5216666666666666,0.9053333333333334,170.0,99.0,0.17366666666666666,1.0166666666666666,0.9920000000000001,,2.066666666666667,27.0,9.0,9.0,1.0,52.666666666666664,14.333333333333334,32.0,11.666666666666666,14.666666666666666,6.666666666666667,0.0,34.333333333333336,3.0,0.6666666666666666,-0.006000000000000005,-0.7333333333333337,1
