,H_name,H_at_bats,H_runs,H_hits,H_rbi,H_earned_runs,H_bases_on_balls,H_strikeouts,H_plate_appearances,H_batting_average,H_on_base_percentage,H_slugging_percentage,H_on_base_plus,H_pitches,H_strikes,H_win_probability_for_offensive_player,H_average_leverage_index,H_win_probability_added,H_base_out_runs_added,H_putouts,H_assists,H_innings_pitched,H_HR,H_strikes_by_contact,H_strikes_swinging,H_strikes_looking,H_grounded_balls,H_fly_balls,H_line_drives,H_unknown_bat_type,H_game_score,H_inherited_runners,H_inherited_score,H_win_probability_by_pitcher,H_base_out_runs_saved,H_Opp_at_bats,H_Opp_runs,H_Opp_hits,H_Opp_rbi,H_Opp_earned_runs,H_Opp_bases_on_balls,H_Opp_strikeouts,H_Opp_plate_appearances,H_Opp_batting_average,H_Opp_on_base_percentage,H_Opp_slugging_percentage,H_Opp_on_base_plus,H_Opp_pitches,H_Opp_strikes,H_Opp_win_probability_for_offensive_player,H_Opp_average_leverage_index,H_Opp_win_probability_added,H_Opp_base_out_runs_added,H_Opp_putouts,H_Opp_assists,H_Opp_innings_pitched,H_Opp_HR,H_Opp_strikes_by_contact,H_Opp_strikes_swinging,H_Opp_strikes_looking,H_Opp_grounded_balls,H_Opp_fly_balls,H_Opp_line_drives,H_Opp_unknown_bat_type,H_Opp_game_score,H_Opp_inherited_runners,H_Opp_inherited_score,H_Opp_win_probability_by_pitcher,H_Opp_base_out_runs_saved,A_name,A_at_bats,A_runs,A_hits,A_rbi,A_earned_runs,A_bases_on_balls,A_strikeouts,A_plate_appearances,A_batting_average,A_on_base_percentage,A_slugging_percentage,A_on_base_plus,A_pitches,A_strikes,A_win_probability_for_offensive_player,A_average_leverage_index,A_win_probability_added,A_base_out_runs_added,A_putouts,A_assists,A_innings_pitched,A_HR,A_strikes_by_contact,A_strikes_swinging,A_strikes_looking,A_grounded_balls,A_fly_balls,A_line_drives,A_unknown_bat_type,A_game_score,A_inherited_runners,A_inherited_score,A_win_probability_by_pitcher,A_base_out_runs_saved,A_Opp_at_bats,A_Opp_runs,A_Opp_hits,A_Opp_rbi,A_Opp_earned_runs,A_Opp_bases_on_balls,A_Opp_strikeouts,A_Opp_plate_appearances,A_Opp_batting_average,A_Opp_on_base_percentage,A_Opp_slugging_percentage,A_Opp_on_base_plus,A_Opp_pitches,A_Opp_strikes,A_Opp_win_probability_for_offensive_player,A_Opp_average_leverage_index,A_Opp_win_probability_added,A_Opp_base_out_runs_added,A_Opp_putouts,A_Opp_assists,A_Opp_innings_pitched,A_Opp_HR,A_Opp_strikes_by_contact,A_Opp_strikes_swinging,A_Opp_strikes_looking,A_Opp_grounded_balls,A_Opp_fly_balls,A_Opp_line_drives,A_Opp_unknown_bat_type,A_Opp_game_score,A_Opp_inherited_runners,A_Opp_inherited_score,A_Opp_win_probability_by_pitcher,A_Opp_base_out_runs_saved,home_win
0,BOS,35.45454545454545,5.454545454545454,9.545454545454545,5.363636363636363,5.34,3.3636363636363638,8.090909090909092,39.36363636363637,0.2560909090909091,0.3235454545454546,0.4709090909090909,0.7944545454545454,146.1818181818182,97.27272727272727,0.008909090909090906,0.82,0.6432727272727272,0.5636363636363635,27.272727272727273,7.636363636363637,9.090909090909092,1.6363636363636365,56.90909090909091,16.90909090909091,23.454545454545453,11.727272727272727,16.0,5.636363636363637,0.0,51.63636363636363,2.1818181818181817,0.8181818181818182,0.03690909090909092,-0.35454545454545455,35.0,5.2727272727272725,8.545454545454545,5.0,4.784545454545453,2.6363636363636362,9.090909090909092,38.09090909090909,0.24381818181818182,0.29618181818181816,0.43336363636363634,0.7295454545454546,151.36363636363637,94.9090909090909,-0.03627272727272726,0.8490909090909091,0.5956363636363636,0.35454545454545455,27.272727272727273,8.181818181818182,9.027272727272727,2.0,56.09090909090909,17.181818181818183,21.727272727272727,9.727272727272727,16.363636363636363,6.363636363636363,0.0,44.81818181818182,2.272727272727273,0.5454545454545454,-0.008818181818181826,-0.5636363636363635,NYY,32.0,2.0,6.0,2.0,2.0,0.0,11.0,32.0,0.188,0.188,0.375,0.563,139.0,85.0,-0.322,0.52,0.142,-3.1,24.0,8.0,8.0,2.0,51.0,15.0,19.0,4.0,17.0,6.0,0.0,37.0,5.0,2.0,-0.179,-1.5,28.0,6.0,7.0,6.0,6.75,7.0,9.0,35.0,0.25,0.4,0.536,0.936,113.0,76.0,0.178,0.63,0.506,1.5,27.0,3.0,9.0,2.0,33.0,20.0,23.0,8.0,11.0,4.0,0.0,64.0,1.0,0.0,0.323,3.1,1
1,LAD,33.416666666666664,4.0,8.166666666666666,4.0,4.166666666666667,3.1666666666666665,8.333333333333334,37.25,0.23750000000000004,0.3028333333333334,0.37799999999999995,0.6809999999999999,141.41666666666666,91.58333333333333,-0.09708333333333334,0.9633333333333334,0.6506666666666666,-0.5166666666666666,26.25,6.0,8.691666666666666,1.0833333333333333,52.0,17.0,22.583333333333332,11.083333333333334,14.416666666666666,6.166666666666667,0.0,49.75,1.75,0.25,0.09716666666666669,1.2583333333333333,32.916666666666664,3.25,7.25,3.0833333333333335,3.2025,2.3333333333333335,10.583333333333334,35.75,0.21675,0.26624999999999993,0.3461666666666667,0.6125833333333334,141.0,94.5,-0.09800000000000002,1.1025,0.5440833333333334,-1.2583333333333333,26.166666666666668,8.25,8.683333333333334,1.1666666666666667,51.75,19.666666666666668,23.25,8.25,14.333333333333334,5.833333333333333,0.0,53.666666666666664,2.4166666666666665,0.9166666666666666,0.09758333333333334,0.5166666666666666,STL,32.0,1.0,5.0,0.0,1.0,4.0,10.0,39.0,0.156,0.289,0.156,0.446,156.0,108.0,-0.573,1.52,0.595,-3.6,26.0,8.0,8.2,2.0,56.0,29.0,23.0,12.0,11.0,5.0,0.0,59.0,2.0,1.0,0.073,1.5,31.0,3.0,7.0,3.0,3.12,4.0,7.0,36.0,0.226,0.314,0.419,0.734,166.0,95.0,-0.071,1.56,0.95,-1.5,27.0,8.0,9.0,0.0,56.0,13.0,26.0,10.0,15.0,9.0,0.0,54.0,3.0,0.0,0.573,3.6,1
2,HOU,34.125,5.4375,8.875,5.25,5.124375000000001,3.4375,8.6875,38.4375,0.255875,0.325875,0.38375000000000004,0.7096874999999999,152.9375,92.6875,0.05281249999999996,0.7662499999999999,0.5953124999999999,0.78125,26.25,7.5625,8.75,1.5625,51.8125,15.9375,24.9375,11.125,14.75,6.3125,0.0,44.9375,1.9375,0.625,0.009687500000000002,0.24375000000000002,33.75,4.4375,8.1875,4.375,4.531874999999999,3.3125,9.625,37.6875,0.23600000000000004,0.309125,0.4140625,0.7231249999999999,147.125,96.875,-0.00962499999999998,0.8312499999999998,0.5061249999999999,-0.24375000000000002,26.0625,8.0,8.6875,0.9375,54.625,20.0625,22.1875,11.3125,13.0,5.1875,0.0,48.8125,2.5625,1.125,-0.05249999999999999,-0.78125,CHW,35.25,4.5,10.25,4.5,4.875,3.0,9.75,39.5,0.28375,0.35150000000000003,0.36375,0.715,158.75,104.0,0.06949999999999999,0.845,0.558,-0.07500000000000012,25.5,6.5,8.5,1.0,57.5,21.75,24.75,13.75,12.0,7.5,0.0,38.5,3.25,1.75,-0.32025000000000003,-3.3,34.75,7.75,10.0,7.75,7.967499999999999,4.5,10.25,40.25,0.285,0.367,0.429,0.796,165.0,100.0,0.32,0.74,0.79325,3.3,26.25,10.0,8.75,0.75,57.25,16.25,26.5,11.75,13.5,6.25,0.0,46.5,2.5,1.5,-0.06999999999999997,0.07500000000000012,1
3,TBR,36.75,5.0,7.75,4.75,4.8475,2.75,11.5,39.5,0.2115,0.2655,0.42574999999999996,0.69125,155.5,103.75,-0.111,1.0575,0.7307500000000001,-0.15,29.25,9.75,9.575,2.25,62.75,21.75,19.5,10.25,15.0,5.5,0.0,45.25,2.25,0.5,-0.139,-1.3749999999999998,41.0,6.5,14.0,6.5,6.1525,1.75,6.5,43.5,0.3375,0.35824999999999996,0.53,0.88825,154.75,106.75,0.1385,1.0025000000000002,0.97075,1.3749999999999998,29.25,7.5,9.75,1.75,67.0,13.5,26.25,15.0,20.25,9.25,0.0,46.75,1.75,0.5,0.111,0.15,BOS,35.45454545454545,5.454545454545454,9.545454545454545,5.363636363636363,5.34,3.3636363636363638,8.090909090909092,39.36363636363637,0.2560909090909091,0.3235454545454546,0.4709090909090909,0.7944545454545454,146.1818181818182,97.27272727272727,0.008909090909090906,0.82,0.6432727272727272,0.5636363636363635,27.272727272727273,7.636363636363637,9.090909090909092,1.6363636363636365,56.90909090909091,16.90909090909091,23.454545454545453,11.727272727272727,16.0,5.636363636363637,0.0,51.63636363636363,2.1818181818181817,0.8181818181818182,0.03690909090909092,-0.35454545454545455,35.0,5.2727272727272725,8.545454545454545,5.0,4.784545454545453,2.6363636363636362,9.090909090909092,38.09090909090909,0.24381818181818182,0.29618181818181816,0.43336363636363634,0.7295454545454546,151.36363636363637,94.9090909090909,-0.03627272727272726,0.8490909090909091,0.5956363636363636,0.35454545454545455,27.272727272727273,8.181818181818182,9.027272727272727,2.0,56.09090909090909,17.181818181818183,21.727272727272727,9.727272727272727,16.363636363636363,6.363636363636363,0.0,44.81818181818182,2.272727272727273,0.5454545454545454,-0.008818181818181826,-0.5636363636363635,1
4,MIL,31.25,1.5,6.0,1.5,1.5625,2.25,12.0,34.5,0.19075,0.26075,0.26375,0.52425,139.0,90.25,-0.33324999999999994,1.1125,0.5165,-3.1500000000000004,25.5,9.25,8.5,1.0,45.25,20.75,24.25,8.25,11.25,5.25,0.0,58.0,1.25,0.5,0.08249999999999999,1.5500000000000003,32.0,3.0,7.5,3.0,3.25,3.25,8.25,35.75,0.23149999999999998,0.3115,0.37925,0.69075,136.75,91.25,-0.09025,1.1675,0.65125,-1.5500000000000003,26.25,7.25,8.75,0.5,50.25,20.75,20.25,10.75,13.0,3.5,0.0,64.0,1.0,0.25,0.33175,3.1500000000000004,ATL,33.3125,4.0625,8.1875,4.0,4.0975,3.0625,10.125,36.75,0.24287499999999998,0.307375,0.41506249999999995,0.7224374999999998,141.0,94.4375,0.03831250000000001,1.03,0.6353125,-0.51875,26.25,8.0625,8.75,0.8125,52.375,20.1875,22.0,9.8125,13.5,5.4375,0.0,53.25,1.5625,0.6875,0.1471875,1.3375000000000001,32.875,3.3125,7.4375,3.25,3.3912500000000003,3.125,9.6875,36.75,0.2193125,0.29331250000000003,0.32606250000000003,0.6195,144.375,90.9375,-0.1473125,0.923125,0.5691875000000001,-1.3375000000000001,25.875,6.875,8.58125,1.4375,48.5,18.4375,24.0,10.0625,13.375,5.5625,0.0,46.0,1.875,0.375,-0.040749999999999995,0.51875,1
5,SFG,31.8,2.0,5.8,2.0,2.1,1.2,9.8,33.2,0.1818,0.2096,0.304,0.5138,134.0,89.4,-0.275,1.088,0.3106,-2.44,26.4,8.4,8.8,0.6,49.4,17.8,22.2,7.6,14.6,4.8,0.0,59.8,3.6,0.8,0.1744,0.8399999999999999,34.0,3.6,8.2,3.6,3.55,2.4,8.2,37.2,0.23679999999999998,0.2816,0.33799999999999997,0.6194,132.0,89.8,-0.1744,0.8780000000000001,0.5363999999999999,-0.8399999999999999,26.4,5.8,8.8,1.0,51.6,16.4,21.8,12.8,13.6,6.2,0.0,59.4,0.6,0.2,0.2744,2.44,LAD,33.416666666666664,4.0,8.166666666666666,4.0,4.166666666666667,3.1666666666666665,8.333333333333334,37.25,0.23750000000000004,0.3028333333333334,0.37799999999999995,0.6809999999999999,141.41666666666666,91.58333333333333,-0.09708333333333334,0.9633333333333334,0.6506666666666666,-0.5166666666666666,26.25,6.0,8.691666666666666,1.0833333333333333,52.0,17.0,22.583333333333332,11.083333333333334,14.416666666666666,6.166666666666667,0.0,49.75,1.75,0.25,0.09716666666666669,1.2583333333333333,32.916666666666664,3.25,7.25,3.0833333333333335,3.2025,2.3333333333333335,10.583333333333334,35.75,0.21675,0.26624999999999993,0.3461666666666667,0.6125833333333334,141.0,94.5,-0.09800000000000002,1.1025,0.5440833333333334,-1.2583333333333333,26.166666666666668,8.25,8.683333333333334,1.1666666666666667,51.75,19.666666666666668,23.25,8.25,14.333333333333334,5.833333333333333,0.0,53.666666666666664,2.4166666666666665,0.9166666666666666,0.09758333333333334,0.5166666666666666,1
6,TBR,36.75,5.0,7.75,4.75,4.8475,2.75,11.5,39.5,0.2115,0.2655,0.42574999999999996,0.69125,155.5,103.75,-0.111,1.0575,0.7307500000000001,-0.15,29.25,9.75,9.575,2.25,62.75,21.75,19.5,10.25,15.0,5.5,0.0,45.25,2.25,0.5,-0.139,-1.3749999999999998,41.0,6.5,14.0,6.5,6.1525,1.75,6.5,43.5,0.3375,0.35824999999999996,0.53,0.88825,154.75,106.75,0.1385,1.0025000000000002,0.97075,1.3749999999999998,29.25,7.5,9.75,1.75,67.0,13.5,26.25,15.0,20.25,9.25,0.0,46.75,1.75,0.5,0.111,0.15,BOS,35.45454545454545,5.454545454545454,9.545454545454545,5.363636363636363,5.34,3.3636363636363638,8.090909090909092,39.36363636363637,0.2560909090909091,0.3235454545454546,0.4709090909090909,0.7944545454545454,146.1818181818182,97.27272727272727,0.008909090909090906,0.82,0.6432727272727272,0.5636363636363635,27.272727272727273,7.636363636363637,9.090909090909092,1.6363636363636365,56.90909090909091,16.90909090909091,23.454545454545453,11.727272727272727,16.0,5.636363636363637,0.0,51.63636363636363,2.1818181818181817,0.8181818181818182,0.03690909090909092,-0.35454545454545455,35.0,5.2727272727272725,8.545454545454545,5.0,4.784545454545453,2.6363636363636362,9.090909090909092,38.09090909090909,0.24381818181818182,0.29618181818181816,0.43336363636363634,0.7295454545454546,151.36363636363637,94.9090909090909,-0.03627272727272726,0.8490909090909091,0.5956363636363636,0.35454545454545455,27.272727272727273,8.181818181818182,9.027272727272727,2.0,56.09090909090909,17.181818181818183,21.727272727272727,9.727272727272727,16.363636363636363,6.363636363636363,0.0,44.81818181818182,2.272727272727273,0.5454545454545454,-0.008818181818181826,-0.5636363636363635,0
7,MIL,31.25,1.5,6.0,1.5,1.5625,2.25,12.0,34.5,0.19075,0.26075,0.26375,0.52425,139.0,90.25,-0.33324999999999994,1.1125,0.5165,-3.1500000000000004,25.5,9.25,8.5,1.0,45.25,20.75,24.25,8.25,11.25,5.25,0.0,58.0,1.25,0.5,0.08249999999999999,1.5500000000000003,32.0,3.0,7.5,3.0,3.25,3.25,8.25,35.75,0.23149999999999998,0.3115,0.37925,0.69075,136.75,91.25,-0.09025,1.1675,0.65125,-1.5500000000000003,26.25,7.25,8.75,0.5,50.25,20.75,20.25,10.75,13.0,3.5,0.0,64.0,1.0,0.25,0.33175,3.1500000000000004,ATL,33.3125,4.0625,8.1875,4.0,4.0975,3.0625,10.125,36.75,0.24287499999999998,0.307375,0.41506249999999995,0.7224374999999998,141.0,94.4375,0.03831250000000001,1.03,0.6353125,-0.51875,26.25,8.0625,8.75,0.8125,52.375,20.1875,22.0,9.8125,13.5,5.4375,0.0,53.25,1.5625,0.6875,0.1471875,1.3375000000000001,32.875,3.3125,7.4375,3.25,3.3912500000000003,3.125,9.6875,36.75,0.2193125,0.29331250000000003,0.32606250000000003,0.6195,144.375,90.9375,-0.1473125,0.923125,0.5691875000000001,-1.3375000000000001,25.875,6.875,8.58125,1.4375,48.5,18.4375,24.0,10.0625,13.375,5.5625,0.0,46.0,1.875,0.375,-0.040749999999999995,0.51875,0
8,SFG,31.8,2.0,5.8,2.0,2.1,1.2,9.8,33.2,0.1818,0.2096,0.304,0.5138,134.0,89.4,-0.275,1.088,0.3106,-2.44,26.4,8.4,8.8,0.6,49.4,17.8,22.2,7.6,14.6,4.8,0.0,59.8,3.6,0.8,0.1744,0.8399999999999999,34.0,3.6,8.2,3.6,3.55,2.4,8.2,37.2,0.23679999999999998,0.2816,0.33799999999999997,0.6194,132.0,89.8,-0.1744,0.8780000000000001,0.5363999999999999,-0.8399999999999999,26.4,5.8,8.8,1.0,51.6,16.4,21.8,12.8,13.6,6.2,0.0,59.4,0.6,0.2,0.2744,2.44,LAD,33.416666666666664,4.0,8.166666666666666,4.0,4.166666666666667,3.1666666666666665,8.333333333333334,37.25,0.23750000000000004,0.3028333333333334,0.37799999999999995,0.6809999999999999,141.41666666666666,91.58333333333333,-0.09708333333333334,0.9633333333333334,0.6506666666666666,-0.5166666666666666,26.25,6.0,8.691666666666666,1.0833333333333333,52.0,17.0,22.583333333333332,11.083333333333334,14.416666666666666,6.166666666666667,0.0,49.75,1.75,0.25,0.09716666666666669,1.2583333333333333,32.916666666666664,3.25,7.25,3.0833333333333335,3.2025,2.3333333333333335,10.583333333333334,35.75,0.21675,0.26624999999999993,0.3461666666666667,0.6125833333333334,141.0,94.5,-0.09800000000000002,1.1025,0.5440833333333334,-1.2583333333333333,26.166666666666668,8.25,8.683333333333334,1.1666666666666667,51.75,19.666666666666668,23.25,8.25,14.333333333333334,5.833333333333333,0.0,53.666666666666664,2.4166666666666665,0.9166666666666666,0.09758333333333334,0.5166666666666666,0
9,BOS,35.45454545454545,5.454545454545454,9.545454545454545,5.363636363636363,5.34,3.3636363636363638,8.090909090909092,39.36363636363637,0.2560909090909091,0.3235454545454546,0.4709090909090909,0.7944545454545454,146.1818181818182,97.27272727272727,0.008909090909090906,0.82,0.6432727272727272,0.5636363636363635,27.272727272727273,7.636363636363637,9.090909090909092,1.6363636363636365,56.90909090909091,16.90909090909091,23.454545454545453,11.727272727272727,16.0,5.636363636363637,0.0,51.63636363636363,2.1818181818181817,0.8181818181818182,0.03690909090909092,-0.35454545454545455,35.0,5.2727272727272725,8.545454545454545,5.0,4.784545454545453,2.6363636363636362,9.090909090909092,38.09090909090909,0.24381818181818182,0.29618181818181816,0.43336363636363634,0.7295454545454546,151.36363636363637,94.9090909090909,-0.03627272727272726,0.8490909090909091,0.5956363636363636,0.35454545454545455,27.272727272727273,8.181818181818182,9.027272727272727,2.0,56.09090909090909,17.181818181818183,21.727272727272727,9.727272727272727,16.363636363636363,6.363636363636363,0.0,44.81818181818182,2.272727272727273,0.5454545454545454,-0.008818181818181826,-0.5636363636363635,TBR,36.75,5.0,7.75,4.75,4.8475,2.75,11.5,39.5,0.2115,0.2655,0.42574999999999996,0.69125,155.5,103.75,-0.111,1.0575,0.7307500000000001,-0.15,29.25,9.75,9.575,2.25,62.75,21.75,19.5,10.25,15.0,5.5,0.0,45.25,2.25,0.5,-0.139,-1.3749999999999998,41.0,6.5,14.0,6.5,6.1525,1.75,6.5,43.5,0.3375,0.35824999999999996,0.53,0.88825,154.75,106.75,0.1385,1.0025000000000002,0.97075,1.3749999999999998,29.25,7.5,9.75,1.75,67.0,13.5,26.25,15.0,20.25,9.25,0.0,46.75,1.75,0.5,0.111,0.15,1
