,H_name,H_at_bats,H_runs,H_hits,H_rbi,H_earned_runs,H_bases_on_balls,H_strikeouts,H_plate_appearances,H_batting_average,H_on_base_percentage,H_slugging_percentage,H_on_base_plus,H_pitches,H_strikes,H_win_probability_for_offensive_player,H_average_leverage_index,H_win_probability_added,H_win_probability_subtracted,H_base_out_runs_added,H_putouts,H_assists,H_innings_pitched,H_HR,H_strikes_by_contact,H_strikes_swinging,H_strikes_looking,H_grounded_balls,H_fly_balls,H_line_drives,H_unknown_bat_type,H_game_score,H_inherited_runners,H_inherited_score,H_win_probability_by_pitcher,H_base_out_runs_saved,H_Opp_at_bats,H_Opp_runs,H_Opp_hits,H_Opp_rbi,H_Opp_earned_runs,H_Opp_bases_on_balls,H_Opp_strikeouts,H_Opp_plate_appearances,H_Opp_batting_average,H_Opp_on_base_percentage,H_Opp_slugging_percentage,H_Opp_on_base_plus,H_Opp_pitches,H_Opp_strikes,H_Opp_win_probability_for_offensive_player,H_Opp_average_leverage_index,H_Opp_win_probability_added,H_Opp_win_probability_subtracted,H_Opp_base_out_runs_added,H_Opp_putouts,H_Opp_assists,H_Opp_innings_pitched,H_Opp_HR,H_Opp_strikes_by_contact,H_Opp_strikes_swinging,H_Opp_strikes_looking,H_Opp_grounded_balls,H_Opp_fly_balls,H_Opp_line_drives,H_Opp_unknown_bat_type,H_Opp_game_score,H_Opp_inherited_runners,H_Opp_inherited_score,H_Opp_win_probability_by_pitcher,H_Opp_base_out_runs_saved,A_name,A_at_bats,A_runs,A_hits,A_rbi,A_earned_runs,A_bases_on_balls,A_strikeouts,A_plate_appearances,A_batting_average,A_on_base_percentage,A_slugging_percentage,A_on_base_plus,A_pitches,A_strikes,A_win_probability_for_offensive_player,A_average_leverage_index,A_win_probability_added,A_win_probability_subtracted,A_base_out_runs_added,A_putouts,A_assists,A_innings_pitched,A_HR,A_strikes_by_contact,A_strikes_swinging,A_strikes_looking,A_grounded_balls,A_fly_balls,A_line_drives,A_unknown_bat_type,A_game_score,A_inherited_runners,A_inherited_score,A_win_probability_by_pitcher,A_base_out_runs_saved,A_Opp_at_bats,A_Opp_runs,A_Opp_hits,A_Opp_rbi,A_Opp_earned_runs,A_Opp_bases_on_balls,A_Opp_strikeouts,A_Opp_plate_appearances,A_Opp_batting_average,A_Opp_on_base_percentage,A_Opp_slugging_percentage,A_Opp_on_base_plus,A_Opp_pitches,A_Opp_strikes,A_Opp_win_probability_for_offensive_player,A_Opp_average_leverage_index,A_Opp_win_probability_added,A_Opp_win_probability_subtracted,A_Opp_base_out_runs_added,A_Opp_putouts,A_Opp_assists,A_Opp_innings_pitched,A_Opp_HR,A_Opp_strikes_by_contact,A_Opp_strikes_swinging,A_Opp_strikes_looking,A_Opp_grounded_balls,A_Opp_fly_balls,A_Opp_line_drives,A_Opp_unknown_bat_type,A_Opp_game_score,A_Opp_inherited_runners,A_Opp_inherited_score,A_Opp_win_probability_by_pitcher,A_Opp_base_out_runs_saved,home_win
0,NYM,33.68333333333333,4.85,9.116666666666667,4.7,4.760500000000001,3.3666666666666667,8.35,38.03333333333333,0.2635,0.3398666666666666,0.44384999999999997,0.7836833333333334,150.51666666666668,93.38333333333334,0.002733333333333336,0.9656666666666671,0.6962833333333333,,0.34000000000000036,25.666666666666668,8.233333333333333,8.540000000000001,1.3333333333333333,54.8,16.666666666666668,22.016666666666666,11.966666666666667,13.6,7.2,0.0,48.583333333333336,1.5666666666666667,0.55,-0.05255,-0.5983333333333334,33.4,5.05,8.583333333333334,4.833333333333333,4.902,3.566666666666667,9.516666666666667,37.65,0.2520666666666667,0.32941666666666664,0.4280166666666668,0.7574833333333332,146.8,94.48333333333333,0.05154999999999999,1.0246666666666668,0.6657,,0.5983333333333334,25.8,9.416666666666666,8.6,1.45,52.15,19.266666666666666,23.183333333333334,10.433333333333334,13.65,7.2,0.0,49.666666666666664,1.7833333333333334,0.5666666666666667,-0.002533333333333317,-0.34000000000000036,ATL,34.56666666666667,5.8,9.266666666666667,5.633333333333334,5.734833333333333,3.9833333333333334,9.55,39.06666666666667,0.2605833333333333,0.33741666666666664,0.46976666666666667,0.8071833333333333,149.63333333333333,97.05,0.04205000000000003,0.9413333333333331,0.7417500000000002,,1.0099999999999991,26.216666666666665,8.883333333333333,8.723333333333333,1.15,55.333333333333336,19.166666666666668,22.583333333333332,9.85,15.3,7.866666666666666,0.0,46.5,1.5666666666666667,0.5166666666666667,0.04063333333333331,0.05166666666666648,33.333333333333336,4.8,8.233333333333333,4.6,4.457666666666666,3.6666666666666665,8.433333333333334,37.93333333333333,0.24026666666666674,0.31901666666666667,0.39354999999999996,0.7126,153.98333333333332,94.0,-0.040683333333333356,0.9801666666666663,0.5930666666666666,,-0.05166666666666648,25.983333333333334,7.7,8.641666666666667,1.7166666666666666,52.9,16.15,24.983333333333334,11.416666666666666,13.866666666666667,6.883333333333334,0.0,50.0,1.8333333333333333,0.6666666666666666,-0.042899999999999966,-1.0099999999999991,1
1,TBR,33.016666666666666,4.75,7.833333333333333,4.5,4.548666666666667,4.033333333333333,10.166666666666666,37.71666666666667,0.23221666666666665,0.32098333333333323,0.4123166666666665,0.7333333333333336,142.85,94.5,0.01966666666666668,1.0558333333333334,0.7295666666666669,,0.031666666666666766,26.333333333333332,8.966666666666667,8.770000000000001,1.1833333333333333,49.68333333333333,18.8,26.016666666666666,10.216666666666667,12.833333333333334,6.433333333333334,0.0,52.3,1.6166666666666667,0.3333333333333333,0.13036666666666663,0.9116666666666665,33.15,3.8833333333333333,7.916666666666667,3.683333333333333,3.7740000000000005,2.816666666666667,9.166666666666666,36.833333333333336,0.23596666666666669,0.30375,0.3882166666666668,0.6920333333333334,153.35,92.81666666666666,-0.13036666666666671,1.0696666666666668,0.6020666666666669,,-0.9099999999999999,25.983333333333334,7.9,8.641666666666667,1.3166666666666667,52.21666666666667,18.1,22.566666666666666,11.333333333333334,13.0,6.633333333333334,0.0,50.55,2.1,0.6666666666666666,-0.019649999999999977,-0.031666666666666766,TOR,33.95,5.266666666666667,8.766666666666667,5.016666666666667,5.028833333333333,3.5,8.45,38.083333333333336,0.2541166666666667,0.3221333333333333,0.43516666666666665,0.7571499999999999,156.61666666666667,92.8,0.04429999999999999,1.1404999999999996,0.7294666666666667,,0.4250000000000004,26.233333333333334,9.083333333333334,8.725,1.3833333333333333,52.78333333333333,16.433333333333334,23.683333333333334,11.333333333333334,14.55,7.35,0.0,49.733333333333334,1.9491525423728813,0.5084745762711864,0.05583333333333334,-0.11333333333333324,33.55,4.966666666666667,8.45,4.666666666666667,4.5071666666666665,4.05,8.666666666666666,38.11666666666667,0.24541666666666678,0.3271166666666666,0.4209333333333334,0.7480833333333335,147.46666666666667,95.3,-0.05570000000000006,1.0446666666666669,0.7322833333333334,,0.11166666666666655,26.15,8.716666666666667,8.693333333333333,1.4333333333333333,53.46666666666667,18.333333333333332,23.566666666666666,11.266666666666667,13.9,6.783333333333333,0.0,49.1,2.0,0.75,-0.044416666666666695,-0.4233333333333338,0
2,CHW,34.11666666666667,5.1,8.9,4.9,4.9625,2.9833333333333334,9.516666666666667,37.78333333333333,0.25299999999999995,0.3163333333333332,0.4416,0.7579166666666666,150.08333333333334,96.55,0.016183333333333324,0.9643333333333336,0.6260833333333335,,0.3233333333333336,26.35,8.616666666666667,8.771666666666667,1.1833333333333333,51.63333333333333,19.55,25.4,11.433333333333334,13.4,7.05,0.0,52.31666666666667,1.694915254237288,0.5084745762711864,0.06305,0.6816666666666664,33.0,4.1,7.466666666666667,3.85,3.8638333333333335,3.6166666666666667,8.716666666666667,37.25,0.22281666666666675,0.30274999999999996,0.3723666666666667,0.6750666666666668,150.31666666666666,93.11666666666666,-0.06353333333333329,0.9046666666666671,0.6070500000000002,,-0.6816666666666664,26.066666666666666,8.5,8.685,1.6,50.13333333333333,18.533333333333335,24.5,11.066666666666666,13.416666666666666,6.916666666666667,0.0,49.083333333333336,1.0833333333333333,0.4,-0.020316666666666688,-0.32166666666666693,MIN,32.233333333333334,4.466666666666667,7.716666666666667,4.283333333333333,4.510833333333334,3.1,8.85,36.083333333333336,0.23565000000000003,0.3066499999999999,0.4221833333333333,0.7288666666666667,143.5,90.56666666666666,-0.029683333333333325,1.0315000000000003,0.5811500000000002,,-0.21000000000000002,25.666666666666668,7.683333333333334,8.551666666666668,1.0333333333333334,49.9,16.633333333333333,24.166666666666668,9.366666666666667,14.283333333333333,6.666666666666667,0.0,53.63333333333333,1.3333333333333333,0.38333333333333336,0.11261666666666664,1.1716666666666664,32.166666666666664,3.6,7.55,3.5,3.7159999999999997,2.8333333333333335,8.866666666666667,35.55,0.23070000000000002,0.29628333333333334,0.3657833333333333,0.6620333333333334,144.65,91.86666666666666,-0.11256666666666669,0.9198333333333335,0.5852500000000003,,-1.1716666666666664,25.45,7.75,8.459999999999999,1.5166666666666666,50.733333333333334,17.65,23.55,9.85,13.6,6.933333333333334,0.0,48.916666666666664,1.5932203389830508,0.4915254237288136,0.029216666666666672,0.21000000000000002,0
3,OAK,31.816666666666666,4.683333333333334,7.2,4.5,4.827000000000001,4.0,8.783333333333333,36.733333333333334,0.22396666666666662,0.31661666666666655,0.39453333333333335,0.7111499999999997,136.58333333333334,90.76666666666667,-0.020066666666666667,0.9696666666666667,0.6594666666666666,,0.01833333333333341,25.816666666666666,8.266666666666667,8.601666666666667,1.1333333333333333,49.31666666666667,15.7,25.783333333333335,8.8,14.5,6.633333333333334,0.0,50.31666666666667,1.0508474576271187,0.3220338983050847,0.11936666666666669,0.9433333333333338,32.71666666666667,3.75,7.816666666666666,3.6,3.8074999999999997,2.716666666666667,8.383333333333333,36.016666666666666,0.23661666666666664,0.29524999999999996,0.3865000000000001,0.6816833333333334,147.6,87.78333333333333,-0.11955000000000006,1.0101666666666664,0.5394166666666667,,-0.9433333333333338,25.55,7.216666666666667,8.481666666666666,1.2,48.45,15.183333333333334,24.266666666666666,10.466666666666667,14.183333333333334,6.5,0.0,52.4,1.3559322033898304,0.6271186440677966,0.019450000000000002,-0.01833333333333341,LAA,33.68333333333333,4.883333333333334,8.316666666666666,4.733333333333333,4.776666666666667,3.9166666666666665,8.116666666666667,38.4,0.24503333333333333,0.32321666666666665,0.42935,0.7526,148.65,94.98333333333333,-0.03163333333333333,0.9990000000000001,0.7230999999999999,,-0.041666666666666394,26.266666666666666,8.133333333333333,8.740000000000002,1.3333333333333333,50.916666666666664,14.3,29.783333333333335,11.083333333333334,14.883333333333333,7.233333333333333,0.0,47.53333333333333,2.23728813559322,0.8135593220338984,-0.05178333333333334,-0.4599999999999999,33.5,5.366666666666666,8.233333333333333,5.083333333333333,5.2715000000000005,3.3833333333333333,8.766666666666667,37.666666666666664,0.24295,0.3135166666666665,0.4231166666666668,0.7366500000000002,151.43333333333334,93.95,0.05156666666666668,1.0571666666666668,0.7300833333333333,,0.4616666666666666,26.483333333333334,8.966666666666667,8.808333333333334,1.45,51.516666666666666,16.966666666666665,25.583333333333332,10.15,14.983333333333333,7.2,0.0,46.75,1.6101694915254237,0.3728813559322034,0.03156666666666668,0.041666666666666394,1
4,LAD,33.983050847457626,5.779661016949152,8.661016949152541,5.406779661016949,5.466610169491525,3.7796610169491527,7.88135593220339,38.52542372881356,0.2521186440677965,0.3316101694915254,0.4775423728813559,0.8091186440677964,142.20338983050848,92.62711864406779,0.10732203389830507,1.025423728813559,0.7353220338983049,,1.0322033898305085,26.93220338983051,9.033898305084746,8.969491525423729,1.11864406779661,52.3728813559322,15.288135593220339,25.06779661016949,10.440677966101696,15.915254237288135,7.745762711864407,0.0,54.186440677966104,1.5932203389830508,0.4745762711864407,0.10264406779661017,1.2593220338983049,33.152542372881356,3.593220338983051,7.0508474576271185,3.389830508474576,3.0720338983050848,2.457627118644068,8.627118644067796,36.25423728813559,0.20777966101694909,0.2673559322033898,0.3471186440677966,0.6144237288135593,150.20338983050848,94.54237288135593,-0.10522033898305085,0.9400000000000001,0.6236610169491524,,-1.2593220338983049,26.305084745762713,8.152542372881356,8.764406779661018,1.9830508474576272,53.067796610169495,16.64406779661017,24.93220338983051,11.59322033898305,13.220338983050848,6.389830508474576,0.0,46.47457627118644,1.7627118644067796,0.6610169491525424,-0.10927118644067796,-1.0322033898305085,SFG,33.559322033898304,4.932203389830509,8.76271186440678,4.813559322033898,5.0096610169491536,3.305084745762712,8.559322033898304,37.6271186440678,0.25267796610169485,0.3237288135593219,0.4291864406779661,0.7530000000000001,149.52542372881356,94.08474576271186,0.02706779661016946,0.9415254237288135,0.6897288135593218,,0.35254237288135554,25.949152542372882,8.305084745762711,8.645762711864407,1.2033898305084745,52.83050847457627,16.694915254237287,24.677966101694917,10.288135593220339,14.966101694915254,7.5423728813559325,0.0,48.728813559322035,1.8793103448275863,0.5517241379310345,-0.05238983050847457,-0.4338983050847459,32.847457627118644,5.016949152542373,7.9491525423728815,4.779661016949152,4.7038983050847465,3.4745762711864407,7.932203389830509,37.33898305084746,0.23703389830508484,0.31588135593220346,0.40938983050847444,0.7252711864406779,147.05084745762713,93.88135593220339,0.051542372881355915,0.9737288135593217,0.6659999999999997,,0.4338983050847459,25.88135593220339,8.135593220338983,8.615254237288134,1.3220338983050848,52.16949152542373,15.694915254237289,26.23728813559322,10.152542372881356,15.186440677966102,7.5423728813559325,0.0,48.05084745762712,1.6896551724137931,0.603448275862069,-0.026932203389830534,-0.35254237288135554,1
5,SDP,32.71666666666667,5.316666666666666,8.266666666666667,5.116666666666666,5.237333333333334,3.35,8.266666666666667,36.96666666666667,0.24825000000000003,0.3232833333333333,0.4507333333333333,0.7740833333333335,141.56666666666666,91.05,0.07629999999999999,0.9478333333333334,0.6826833333333332,,0.7866666666666665,26.033333333333335,8.533333333333333,8.67,1.1833333333333333,49.6,14.166666666666666,27.433333333333334,11.233333333333333,13.666666666666666,7.2,0.0,53.6,1.4915254237288136,0.4067796610169492,0.007216666666666668,0.46500000000000014,32.68333333333333,4.116666666666666,7.766666666666667,3.95,4.065833333333334,2.8833333333333333,9.133333333333333,36.21666666666667,0.23479999999999998,0.30121666666666674,0.3894833333333333,0.6907833333333332,145.2,89.93333333333334,-0.00816666666666665,0.945,0.6237333333333333,,-0.46500000000000014,25.7,9.15,8.555,1.5666666666666667,48.18333333333333,16.633333333333333,25.233333333333334,10.416666666666666,13.383333333333333,6.633333333333334,0.0,49.45,1.5166666666666666,0.5166666666666667,-0.07626666666666666,-0.7866666666666665,ARI,33.28333333333333,4.483333333333333,8.033333333333333,4.25,4.340333333333333,3.0166666666666666,7.683333333333334,37.3,0.2360333333333333,0.30611666666666665,0.38191666666666685,0.6880000000000002,148.6,92.78333333333333,-0.03505,0.9301666666666666,0.6076666666666666,,-0.1616666666666666,25.916666666666668,7.9,8.635,1.55,51.766666666666666,16.316666666666666,24.833333333333332,11.583333333333334,14.416666666666666,7.216666666666667,0.0,48.7,1.55,0.5,-0.04816666666666667,-0.27499999999999974,33.38333333333333,4.916666666666667,8.433333333333334,4.716666666666667,4.8663333333333325,3.9166666666666665,8.733333333333333,37.983333333333334,0.24868333333333326,0.3296833333333334,0.4542,0.7839500000000001,144.46666666666667,93.1,0.04816666666666668,0.9701666666666664,0.675933333333333,,0.27499999999999974,26.166666666666668,8.75,8.718333333333334,0.9666666666666667,51.416666666666664,15.683333333333334,26.1,9.816666666666666,15.116666666666667,7.666666666666667,0.0,51.5,1.4576271186440677,0.4576271186440678,0.035149999999999994,0.1616666666666666,1
6,HOU,33.2,4.7,8.016666666666667,4.516666666666667,4.700166666666666,3.283333333333333,7.366666666666666,37.25,0.23849999999999996,0.3093833333333333,0.4022166666666668,0.7116166666666666,145.83333333333334,90.48333333333333,-0.03520000000000003,1.0853333333333335,0.6905333333333332,,-0.31,26.2,9.016666666666667,8.698333333333334,1.2,52.81666666666667,13.333333333333334,24.4,11.016666666666667,15.133333333333333,7.516666666666667,0.0,52.56666666666667,1.7,0.55,0.051783333333333334,0.4350000000000005,32.86666666666667,4.533333333333333,7.816666666666666,4.333333333333333,4.458166666666667,3.533333333333333,8.733333333333333,37.21666666666667,0.2351999999999999,0.3112833333333334,0.4028999999999999,0.7141833333333335,143.1,90.48333333333333,-0.0518833333333334,1.0511666666666666,0.7032333333333333,,-0.4350000000000005,26.133333333333333,8.966666666666667,8.703333333333335,1.1166666666666667,47.983333333333334,15.45,27.083333333333332,10.933333333333334,13.55,7.033333333333333,0.0,48.6,1.8305084745762712,0.5932203389830508,0.03530000000000001,0.31,SEA,32.38333333333333,4.3,7.483333333333333,4.1,4.110333333333333,3.45,8.533333333333333,36.583333333333336,0.22596666666666668,0.30574999999999986,0.37450000000000006,0.6803000000000001,148.25,90.46666666666667,-0.011433333333333328,0.9653333333333334,0.5911166666666666,,-0.33666666666666695,25.733333333333334,7.933333333333334,8.558333333333334,1.2666666666666666,47.35,16.466666666666665,26.766666666666666,10.7,13.4,6.666666666666667,0.0,51.78333333333333,1.3389830508474576,0.6610169491525424,-0.005349999999999992,-0.39833333333333315,32.53333333333333,4.983333333333333,7.8,4.833333333333333,5.267499999999999,3.8333333333333335,8.366666666666667,37.25,0.23818333333333333,0.32254999999999995,0.4116666666666668,0.734233333333333,144.58333333333334,91.45,0.005100000000000001,0.9063333333333332,0.6400833333333331,,0.39833333333333315,26.0,8.916666666666666,8.666666666666666,1.05,50.083333333333336,14.25,27.133333333333333,9.9,14.516666666666667,6.516666666666667,0.0,51.7,1.4655172413793103,0.5,0.011366666666666666,0.33666666666666695,1
7,PHI,32.31666666666667,4.916666666666667,8.266666666666667,4.65,4.8229999999999995,3.6666666666666665,8.0,36.75,0.24900000000000005,0.33111666666666656,0.4196166666666666,0.7507166666666666,143.8,89.51666666666667,0.03106666666666669,1.0501666666666667,0.6900499999999999,,0.4033333333333333,24.85,8.866666666666667,8.26,1.35,50.85,16.033333333333335,22.733333333333334,10.666666666666666,13.95,6.716666666666667,0.0,51.11666666666667,2.0344827586206895,0.6724137931034483,-0.0982333333333333,-0.8700000000000003,33.0,5.366666666666666,9.233333333333333,5.1,5.4783333333333335,3.2333333333333334,8.866666666666667,36.916666666666664,0.27568333333333334,0.3450666666666666,0.4605499999999998,0.8055666666666667,143.75,92.0,0.09796666666666667,1.0318333333333336,0.7697999999999999,,0.8700000000000003,24.966666666666665,8.216666666666667,8.295,1.35,51.96666666666667,16.5,23.566666666666666,11.4,12.95,7.35,0.0,46.766666666666666,1.5614035087719298,0.38596491228070173,-0.03133333333333333,-0.4049999999999999,MIA,32.45,4.266666666666667,7.883333333333334,4.05,4.141999999999999,3.25,9.016666666666667,36.31666666666667,0.2361166666666666,0.3105166666666667,0.3761666666666667,0.6867833333333332,141.46666666666667,90.15,-0.05021666666666667,0.9998333333333331,0.5962999999999999,,-0.185,25.0,9.15,8.321666666666667,1.3,49.53333333333333,17.166666666666668,23.533333333333335,11.433333333333334,12.2,6.183333333333334,0.0,49.31666666666667,1.88135593220339,0.6610169491525424,-6.666666666666488e-05,-0.8166666666666668,32.15,5.183333333333334,8.416666666666666,4.933333333333334,5.068333333333333,3.7,7.45,36.7,0.25336666666666663,0.33194999999999997,0.4271833333333333,0.75915,143.51666666666668,88.86666666666666,-0.0003499999999999837,0.9966666666666667,0.6391333333333333,,0.8166666666666668,25.333333333333332,8.533333333333333,8.436666666666666,1.0666666666666667,52.166666666666664,14.866666666666667,21.966666666666665,11.666666666666666,13.433333333333334,6.866666666666666,0.0,50.733333333333334,1.5932203389830508,0.6101694915254238,0.04996666666666665,0.185,0
8,TEX,32.266666666666666,3.7333333333333334,7.0,3.4,3.5308333333333337,2.783333333333333,9.133333333333333,35.78333333333333,0.21485000000000004,0.2800333333333333,0.3604,0.6404,152.31666666666666,89.98333333333333,-0.1065,0.9203333333333333,0.5558833333333333,,-1.3066666666666673,25.833333333333332,7.783333333333333,8.603333333333333,1.35,47.68333333333333,16.716666666666665,25.7,10.65,12.816666666666666,5.933333333333334,0.0,47.93333333333333,1.603448275862069,0.5344827586206896,-0.027000000000000027,-0.1916666666666668,33.016666666666666,5.2,7.983333333333333,4.966666666666667,5.0985,3.933333333333333,8.15,37.88333333333333,0.2364500000000001,0.3218333333333333,0.40943333333333337,0.7313500000000002,140.46666666666667,94.91666666666667,0.02711666666666664,0.9538333333333335,0.6401666666666664,,0.1916666666666668,26.216666666666665,8.633333333333333,8.735000000000001,1.0333333333333334,52.78333333333333,14.85,27.383333333333333,10.533333333333333,14.75,6.933333333333334,0.0,54.583333333333336,1.4666666666666666,0.45,0.10631666666666666,1.3066666666666673,COL,34.28333333333333,4.583333333333333,8.8,4.4,4.368166666666666,2.683333333333333,9.05,37.61666666666667,0.2521666666666667,0.305,0.39753333333333335,0.7025833333333332,147.18333333333334,95.03333333333333,-0.06905000000000001,1.0073333333333336,0.6201500000000001,,-0.5566666666666669,26.316666666666666,10.55,8.768333333333334,1.3833333333333333,54.266666666666666,17.233333333333334,23.683333333333334,10.866666666666667,14.8,7.383333333333334,0.0,47.85,1.5593220338983051,0.6271186440677966,-0.0005666666666666588,-0.7816666666666664,34.45,5.883333333333334,9.65,5.55,5.710833333333334,3.4166666666666665,6.55,38.916666666666664,0.27086666666666664,0.34496666666666653,0.4616,0.8066166666666665,146.7,92.25,-4.9999999999978766e-05,0.9834999999999998,0.7110833333333332,,0.7816666666666664,26.55,8.55,8.838333333333333,1.05,53.266666666666666,14.866666666666667,24.2,12.716666666666667,15.566666666666666,8.633333333333333,0.0,53.55,1.847457627118644,0.6610169491525424,0.06596666666666669,0.5583333333333336,1
9,BOS,34.68333333333333,4.85,9.183333333333334,4.633333333333334,4.710999999999999,3.1,9.066666666666666,38.35,0.2616166666666666,0.3251666666666667,0.4418166666666667,0.7670166666666668,156.93333333333334,96.95,-0.021883333333333324,0.9938333333333332,0.6471166666666667,,-0.13666666666666658,26.2,8.666666666666666,8.721666666666666,1.6166666666666667,54.81666666666667,18.716666666666665,23.5,11.7,14.133333333333333,7.133333333333334,0.0,46.266666666666666,1.5666666666666667,0.48333333333333334,-0.09489999999999998,-0.9500000000000005,34.88333333333333,5.866666666666666,9.8,5.616666666666666,5.671500000000001,4.216666666666667,8.966666666666667,39.86666666666667,0.27423333333333333,0.3595166666666668,0.47198333333333337,0.8313666666666665,151.41666666666666,97.36666666666666,0.09503333333333333,0.949,0.7803833333333334,,0.9500000000000005,26.5,9.066666666666666,8.821666666666665,1.3666666666666667,54.766666666666666,17.1,25.616666666666667,11.55,14.616666666666667,7.8,0.0,47.166666666666664,1.9666666666666666,0.45,0.021799999999999996,0.13666666666666658,BAL,33.56666666666667,4.666666666666667,8.733333333333333,4.483333333333333,4.365333333333333,2.7,8.483333333333333,37.233333333333334,0.25214999999999993,0.3124333333333334,0.4143666666666666,0.7267666666666666,148.05,94.76666666666667,-0.03565000000000001,0.9876666666666668,0.6542000000000002,,-0.15666666666666648,26.083333333333332,8.566666666666666,8.675,1.35,55.766666666666666,17.883333333333333,21.233333333333334,11.1,14.466666666666667,7.466666666666667,0.0,47.86666666666667,2.1666666666666665,0.65,0.0023000000000000117,0.053333333333333115,33.38333333333333,4.8,8.133333333333333,4.583333333333333,4.5104999999999995,3.2333333333333334,8.2,37.56666666666667,0.23876666666666665,0.3123166666666667,0.41551666666666676,0.727716666666667,145.13333333333333,92.43333333333334,-0.0020833333333333467,1.0103333333333333,0.6744833333333333,,-0.053333333333333115,26.0,8.45,8.655,1.25,52.333333333333336,16.266666666666666,23.933333333333334,11.083333333333334,14.483333333333333,7.35,0.0,49.65,1.2203389830508475,0.423728813559322,0.03573333333333333,0.15666666666666648,1
