,variable,value
0,H_BA_against,0.0008260671281231175
1,H_OBP_against,0.0
2,H_SLG_against,0.0029855231222458865
3,H_OPS_against,0.0
4,H_BAbip_against,0.0
5,H_HR%_against,0.0
6,H_p_SO%,0.0019473212572701495
7,H_p_BB%,0.0005035075828559956
8,H_p_EV,0.0029616036297154735
9,H_p_HardH%,0.0
10,H_p_LD%,0.0028198331865628375
11,H_p_GB%,0.0007509701164755612
12,H_p_FB%,0.0024965584316609776
13,H_p_GB/FB,0.0
14,H_p_WPA,0.019233610762660835
15,H_p_RE24,0.0
16,H_RA/G,0.00045892618229062093
17,H_DefEff,0.0
18,H_Ch,0.0
19,H_PO,0.0003059507881937471
20,H_A,0.0002937127566659973
21,H_E,0.0
22,H_DP,0.0
23,H_Fld%,0.0016245650643430623
24,H_Rtot,0.005821854569389359
25,H_Rtot/yr,0.0014418626236330783
26,H_Rdrs,0.004740222511360202
27,H_Rdrs/yr,0.0
28,H_Rgood,0.00221341418782871
29,H_rOBA,0.004593389018289468
30,H_Rbat+,0.004243357461195394
31,H_BAbip,0.0013400644522886134
32,H_ISO,0.0013134980422330321
33,H_HR%,0.004019167186520344
34,H_SO%,0.0
35,H_BB%,0.0008133584030750696
36,H_EV,0.001938584884313345
37,H_HardH%,0.002557825987963728
38,H_LD%,0.0007342818916649934
39,H_GB%,0.0010258278350565155
40,H_FB%,0.0012666362631221133
41,H_GB/FB,0.0009178523645812419
42,H_Pull%,0.0023863722315301495
43,H_Cent%,0.006841251442688176
44,H_Oppo%,0.0027809734630753736
45,H_WPA,0.0014685637833299866
46,H_RE24,0.0011800958973187394
47,H_RS%,0.0014685637833299866
48,H_SB%,0.0013339454365247374
49,H_XBT%,0.0015478632377798126
50,A_BA_against,0.00041958965237999665
51,A_OBP_against,0.0019979804540105357
52,A_SLG_against,0.0003671409458324966
53,A_OPS_against,0.0011381369320807395
54,A_BAbip_against,0.0
55,A_HR%_against,0.0023129879587447293
56,A_p_SO%,0.00230866865349964
57,A_p_BB%,0.0013951355941634871
58,A_p_EV,0.0014418626236330791
59,A_p_HardH%,0.0005874255133319948
60,A_p_LD%,0.004057050493376036
61,A_p_GB%,0.006814143501227611
62,A_p_FB%,0.0023040447818590674
63,A_p_GB/FB,0.0009391078930241761
64,A_p_WPA,0.0016791187357018328
65,A_p_RE24,0.0
66,A_RA/G,0.0
67,A_DefEff,0.0
68,A_Ch,0.0033451155132214255
69,A_PO,0.0013584214995802375
70,A_A,0.0007999807977613388
71,A_E,0.0009386447459455799
72,A_DP,0.0
73,A_Fld%,0.0
74,A_Rtot,0.000660853702498494
75,A_Rtot/yr,0.0
76,A_Rdrs,0.0014420559235343554
77,A_Rdrs/yr,0.0019109216588090846
78,A_Rgood,0.0
79,A_rOBA,0.0
80,A_Rbat+,0.00036714094583249686
81,A_BAbip,0.0010070151657119912
82,A_ISO,0.0
83,A_HR%,0.0
84,A_SO%,0.0
85,A_BB%,0.0011748510266639894
86,A_EV,0.0006608537024984936
87,A_HardH%,0.0006675289924227216
88,A_LD%,0.0
89,A_GB%,0.0
90,A_FB%,0.0
91,A_GB/FB,0.0
92,A_Pull%,0.0
93,A_Cent%,0.0009790425222199915
94,A_Oppo%,0.0025394806605953573
95,A_WPA,0.004167288138410418
96,A_RE24,0.0009330894394082831
97,A_RS%,0.00110142283749749
98,A_SB%,0.0035206720050617287
99,A_XBT%,0.000293712756665997
100,Unnamed: 0,0.615746608982512
101,H_at_bats,0.0021350658080720574
102,H_runs,0.0
103,H_hits,0.0
104,H_rbi,0.0003671409458324966
105,H_earned_runs,0.0
106,H_bases_on_balls,0.0
107,H_strikeouts,0.0
108,H_plate_appearances,0.0031006713730394055
109,H_batting_average,0.0
110,H_on_base_percentage,0.0003671409458324966
111,H_slugging_percentage,0.0003304268512492458
112,H_on_base_plus,0.0067283743726722555
113,H_pitches,0.0038382667302897465
114,H_strikes,0.0036968523513140595
115,H_win_probability_for_offensive_player,0.0015419919724964858
116,H_average_leverage_index,0.001455451606693112
117,H_win_probability_added,0.0
118,H_base_out_runs_added,0.0024126405011849774
119,H_putouts,0.0007175936668544254
120,H_assists,0.001800738924797483
121,H_innings_pitched,0.0015419919724964858
122,H_HR,0.0008391793047599923
123,H_strikes_by_contact,0.0
124,H_strikes_swinging,0.0
125,H_strikes_looking,0.0
126,H_grounded_balls,0.0
127,H_fly_balls,0.0014394090854192897
128,H_line_drives,0.0
129,H_unknown_bat_type,0.00035883458959194215
130,H_game_score,0.0014685637833299866
131,H_inherited_runners,0.008771503691508321
132,H_inherited_score,0.001237789474520989
133,H_win_probability_by_pitcher,0.0011014228374974899
134,H_base_out_runs_saved,0.0
135,H_Opp_at_bats,0.00110142283749749
136,H_Opp_runs,0.0
137,H_Opp_hits,0.0073489379324138075
138,H_Opp_rbi,0.0012015521863608981
139,H_Opp_earned_runs,0.0
140,H_Opp_bases_on_balls,0.0018378900919352962
141,H_Opp_strikeouts,0.000550711418748745
142,H_Opp_plate_appearances,0.004063061226053253
143,H_Opp_batting_average,0.0009011641397706739
144,H_Opp_on_base_percentage,0.0
145,H_Opp_slugging_percentage,0.0009178523645812415
146,H_Opp_on_base_plus,0.0003671409458324966
147,H_Opp_pitches,0.003080185586399218
148,H_Opp_strikes,0.0010647087429142407
149,H_Opp_win_probability_for_offensive_player,0.00110142283749749
150,H_Opp_average_leverage_index,0.0
151,H_Opp_win_probability_added,0.004806425084375119
152,H_Opp_base_out_runs_added,0.0034266488277699685
153,H_Opp_putouts,0.002276273864161479
154,H_Opp_assists,0.0
155,H_Opp_innings_pitched,0.0006675289924227216
156,H_Opp_HR,0.0
157,H_Opp_strikes_by_contact,0.0
158,H_Opp_strikes_swinging,0.010074971727452937
159,H_Opp_strikes_looking,0.0060715875628684635
160,H_Opp_grounded_balls,0.0011224023201164889
161,H_Opp_fly_balls,0.000293712756665997
162,H_Opp_line_drives,0.0
163,H_Opp_unknown_bat_type,0.0
164,H_Opp_game_score,0.00220284567499498
165,H_Opp_inherited_runners,0.002297757365480893
166,H_Opp_inherited_score,0.001592986388849603
167,H_Opp_win_probability_by_pitcher,0.0003671409458324966
168,H_Opp_base_out_runs_saved,0.002322047280784751
169,H_median_odds,0.001027994648330992
170,A_at_bats,0.0
171,A_runs,0.006826128402255377
172,A_hits,0.002316619023044171
173,A_rbi,0.0
174,A_earned_runs,0.0
175,A_bases_on_balls,0.0
176,A_strikeouts,0.0
177,A_plate_appearances,0.0
178,A_batting_average,0.0009668044906922407
179,A_on_base_percentage,0.0011437852543243164
180,A_slugging_percentage,0.002023666840186773
181,A_on_base_plus,0.0026666132763515232
182,A_pitches,0.0
183,A_strikes,0.0025836457414045583
184,A_win_probability_for_offensive_player,0.0
185,A_average_leverage_index,0.0
186,A_win_probability_added,0.0
187,A_base_out_runs_added,0.001488208207964139
188,A_putouts,0.0012981054870506133
189,A_assists,0.0
190,A_innings_pitched,0.00110142283749749
191,A_HR,0.0020995614629265675
192,A_strikes_by_contact,0.007355222018979369
193,A_strikes_swinging,0.0007210556961008425
194,A_strikes_looking,0.000293712756665997
195,A_grounded_balls,0.0023615030123011653
196,A_fly_balls,0.003630627591497585
197,A_line_drives,0.0
198,A_unknown_bat_type,0.0
199,A_game_score,0.001277826663517818
200,A_inherited_runners,0.0
201,A_inherited_score,0.0
202,A_win_probability_by_pitcher,0.0010035185852754912
203,A_base_out_runs_saved,0.0015133544444393108
204,A_Opp_at_bats,0.0
205,A_Opp_runs,0.0003671409458324966
206,A_Opp_hits,0.0011503749636084892
207,A_Opp_rbi,0.0
208,A_Opp_earned_runs,0.0018357047291624835
209,A_Opp_bases_on_balls,0.003471150760598149
210,A_Opp_strikeouts,0.0
211,A_Opp_plate_appearances,0.004248156973828517
212,A_Opp_batting_average,0.0011748510266639894
213,A_Opp_on_base_percentage,0.001572132259603679
214,A_Opp_slugging_percentage,0.0011094918692740206
215,A_Opp_on_base_plus,0.0003671409458324966
216,A_Opp_pitches,0.0014685637833299866
217,A_Opp_strikes,0.0
218,A_Opp_win_probability_for_offensive_player,0.002774536576362726
219,A_Opp_average_leverage_index,0.0
220,A_Opp_win_probability_added,0.0022405352648449364
221,A_Opp_base_out_runs_added,0.000550711418748745
222,A_Opp_putouts,0.0
223,A_Opp_assists,0.0004929444867121633
224,A_Opp_innings_pitched,0.0019860497771165145
225,A_Opp_HR,0.0
226,A_Opp_strikes_by_contact,0.004811784216432939
227,A_Opp_strikes_swinging,0.007017052430987495
228,A_Opp_strikes_looking,0.0035581107592038076
229,A_Opp_grounded_balls,0.0024913135610062282
230,A_Opp_fly_balls,0.005818276667548903
231,A_Opp_line_drives,0.006467119701031165
232,A_Opp_unknown_bat_type,0.0
233,A_Opp_game_score,0.001788419703321516
234,A_Opp_inherited_runners,0.006450679636994422
235,A_Opp_inherited_score,0.002879311161028233
236,A_Opp_win_probability_by_pitcher,0.0031969870672816742
237,A_Opp_base_out_runs_saved,0.004498029139711038
238,A_median_odds,0.008652145344697541
239,home_fav,0.000978406780322446
