Team,Close,,,,,,,,,,,,,,,,,,,,,
STL,109,,,,,,,,,,,,,,,,,,,,,
PIT,-119,,,,,,,,,,,,,,,,,,,,,
TOR,111,,,,,,,,,,,,,,,,,,,,,
TAM,-121,,,,,,,,,,,,,,,,,,,,,
NYM,-120,,,,,,,,,,,,,,,,,,,,,
KAN,110,,,,,,,,,,,,,,,,,,,,,
SFO,-175,,,,,,,,,,,,,,,,,,,,,
MIL,155,,,,,,,,,,,,,,,,,,,,,
WAS,-180,,,,,,,,,,,,,,,,,,,,,
ATL,160,,,,,,,,,,,,,,,,,,,,,
PHI,155,,,,,,,,,,,,,,,,,,,,,
CIN,-175,,,,,,,,,,,,,,,,,,,,,
LOS,-200,,,,,,,,,,,,,,,,,,,,,
SDG,170,,,,,,,,,,,,,,,,,,,,,
COL,155,,,,,,,,,,,,,,,,,,,,,
ARI,-175,,,,,,,,,,,,,,,,,,,,,
MIN,109,,,,,,,,,,,,,,,,,,,,,
BAL,-119,,,,,,,,,,,,,,,,,,,,,
SEA,116,,,,,,,,,,,,,,,,,,,,,
TEX,-126,,,,,,,,,,,,,,,,,,,,,
TOR,107,,,,,,,,,,,,,,,,,,,,,
TAM,-117,,,,,,,,,,,,,,,,,,,,,
CWS,-145,,,,,,,,,,,,,,,,,,,,,
OAK,130,,,,,,,,,,,,,,,,,,,,,
CUB,-145,,,,,,,,,,,,,,,,,,,,,
LAA,130,,,,,,,,,,,,,,,,,,,,,
STL,102,,,,,,,,,,,,,,,,,,,,,
PIT,-112,,,,,,,,,,,,,,,,,,,,,
SFO,-158,,,,,,,,,,,,,,,,,,,,,
MIL,143,,,,,,,,,,,,,,,,,,,,,
COL,115,,,,,,,,,,,,,,,,,,,,,
ARI,-130,,,,,,,,,,,,,,,,,,,,,
LOS,-115,,,,,,,,,,,,,,,,,,,,,
SDG,105,,,,,,,,,,,,,,,,,,,,,
TOR,-107,,,,,,,,,,,,,,,,,,,,,
TAM,-103,,,,,,,,,,,,,,,,,,,,,
SEA,-103,,,,,,,,,,,,,,,,,,,,,
TEX,-107,,,,,,,,,,,,,,,,,,,,,
CWS,-113,,,,,,,,,,,,,,,,,,,,,
OAK,103,,,,,,,,,,,,,,,,,,,,,
NYM,-127,,,,,,,,,,,,,,,,,,,,,
KAN,117,,,,,,,,,,,,,,,,,,,,,
DET,-107,,,,,,,,,,,,,,,,,,,,,
MIA,-103,,,,,,,,,,,,,,,,,,,,,
CUB,-125,,,,,,,,,,,,,,,,,,,,,
LAA,115,,,,,,,,,,,,,,,,,,,,,
HOU,-123,,,,,,,,,,,,,,,,,,,,,
NYY,113,,,,,,,,,,,,,,,,,,,,,
BOS,113,,,,,,,,,,,,,,,,,,,,,
CLE,-123,,,,,,,,,,,,,,,,,,,,,
SFO,-141,,,,,,,,,,,,,,,,,,,,,
MIL,126,,,,,,,,,,,,,,,,,,,,,
COL,125,,,,,,,,,,,,,,,,,,,,,
ARI,-140,,,,,,,,,,,,,,,,,,,,,
STL,102,,,,,,,,,,,,,,,,,,,,,
PIT,-112,,,,,,,,,,,,,,,,,,,,,
WAS,-190,,,,,,,,,,,,,,,,,,,,,
ATL,170,,,,,,,,,,,,,,,,,,,,,
PHI,117,,,,,,,,,,,,,,,,,,,,,
CIN,-132,,,,,,,,,,,,,,,,,,,,,
LOS,-145,,,,,,,,,,,,,,,,,,,,,
SDG,130,,,,,,,,,,,,,,,,,,,,,
TOR,-123,,,,,,,,,,,,,,,,,,,,,
TAM,113,,,,,,,,,,,,,,,,,,,,,
SEA,-130,,,,,,,,,,,,,,,,,,,,,
TEX,115,,,,,,,,,,,,,,,,,,,,,
BOS,126,,,,,,,,,,,,,,,,,,,,,
CLE,-141,,,,,,,,,,,,,,,,,,,,,
HOU,116,,,,,,,,,,,,,,,,,,,,,
NYY,-131,,,,,,,,,,,,,,,,,,,,,
MIN,106,,,,,,,,,,,,,,,,,,,,,
BAL,-116,,,,,,,,,,,,,,,,,,,,,
CWS,117,,,,,,,,,,,,,,,,,,,,,
OAK,-127,,,,,,,,,,,,,,,,,,,,,
DET,154,,,,,,,,,,,,,,,,,,,,,
MIA,-174,,,,,,,,,,,,,,,,,,,,,
PHI,116,,,,,,,,,,,,,,,,,,,,,
CIN,-126,,,,,,,,,,,,,,,,,,,,,
MIA,126,,,,,,,,,,,,,,,,,,,,,
WAS,-141,,,,,,,,,,,,,,,,,,,,,
LOS,110,,,,,,,,,,,,,,,,,,,,,
SFO,-120,,,,,,,,,,,,,,,,,,,,,
CUB,-177,,,,,,,,,,,,,,,,,,,,,
ARI,157,,,,,,,,,,,,,,,,,,,,,
CWS,101,,,,,,,,,,,,,,,,,,,,,
OAK,-111,,,,,,,,,,,,,,,,,,,,,
HOU,-103,,,,,,,,,,,,,,,,,,,,,
NYY,-107,,,,,,,,,,,,,,,,,,,,,
MIN,125,,,,,,,,,,,,,,,,,,,,,
BAL,-140,,,,,,,,,,,,,,,,,,,,,
TEX,129,,,,,,,,,,,,,,,,,,,,,
LAA,-144,,,,,,,,,,,,,,,,,,,,,
PHI,237,,,,,,,,,,,,,,,,,,,,,
NYM,-277,,,,,,,,,,,,,,,,,,,,,
SDG,140,,,,,,,,,,,,,,,,,,,,,
COL,-155,,,,,,,,,,,,,,,,,,,,,
PIT,-141,,,,,,,,,,,,,,,,,,,,,
CIN,126,,,,,,,,,,,,,,,,,,,,,
STL,-164,,,,,,,,,,,,,,,,,,,,,
ATL,149,,,,,,,,,,,,,,,,,,,,,
CUB,-124,,,,,,,,,,,,,,,,,,,,,
ARI,114,,,,,,,,,,,,,,,,,,,,,
LOS,-110,,,,,,,,,,,,,,,,,,,,,
SFO,100,,,,,,,,,,,,,,,,,,,,,
NYY,108,,,,,,,,,,,,,,,,,,,,,
DET,-118,,,,,,,,,,,,,,,,,,,,,
CLE,-144,,,,,,,,,,,,,,,,,,,,,
CWS,129,,,,,,,,,,,,,,,,,,,,,
TAM,-125,,,,,,,,,,,,,,,,,,,,,
BAL,115,,,,,,,,,,,,,,,,,,,,,
BOS,140,,,,,,,,,,,,,,,,,,,,,
TOR,-155,,,,,,,,,,,,,,,,,,,,,
MIN,144,,,,,,,,,,,,,,,,,,,,,
KAN,-159,,,,,,,,,,,,,,,,,,,,,
TEX,117,,,,,,,,,,,,,,,,,,,,,
LAA,-127,,,,,,,,,,,,,,,,,,,,,
OAK,139,,,,,,,,,,,,,,,,,,,,,
SEA,-154,,,,,,,,,,,,,,,,,,,,,
HOU,-111,,,,,,,,,,,,,,,,,,,,,
MIL,101,,,,,,,,,,,,,,,,,,,,,
PIT,-122,,,,,,,,,,,,,,,,,,,,,
CIN,112,,,,,,,,,,,,,,,,,,,,,
LOS,-148,,,,,,,,,,,,,,,,,,,,,
SFO,133,,,,,,,,,,,,,,,,,,,,,
STL,-130,,,,,,,,,,,,,,,,,,,,,
ATL,115,,,,,,,,,,,,,,,,,,,,,
PHI,138,,,,,,,,,,,,,,,,,,,,,
NYM,-153,,,,,,,,,,,,,,,,,,,,,
SDG,111,,,,,,,,,,,,,,,,,,,,,
