,index,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
0,TOR/TOR201610040,"Tuesday, October 4, 2016",8:08 p.m. Local,Rogers Centre,49934,3:25,Night,Home,Toronto Blue Jays,TOR,Baltimore Orioles,BAL,37,2,4,2,1.64,1,12,38,0.108,0.132,0.189,0.321,151,95,-0.714,1.56,0.359,,-3.7,31,11,10.1,2,47,19,29,16,9,5,0,50,4,0,0.214,0.4,37,5,9,5,4.35,2,11,39,0.243,0.282,0.486,0.769,146,95,-0.215,1.23,1.036,,-0.4,33,14,11.0,1,53,13,29,10,16,4,0,62,1,0,0.715,3.7
1,NYN/NYN201610050,"Wednesday, October 5, 2016",8:10 p.m. Local,Citi Field,44747,3:11,Night,Away,San Francisco Giants,SFG,New York Mets,NYM,30,3,5,3,3.0,6,12,37,0.167,0.306,0.3,0.606,119,96,-0.076,1.2,0.875,,-1.3,27,9,9.0,0,54,21,21,9,10,2,0,83,,,0.575,4.3,30,0,4,0,0.0,2,6,32,0.133,0.188,0.167,0.354,155,78,-0.575,1.62,0.247,,-4.3,27,7,9.0,1,47,11,20,8,16,4,0,80,0,0,0.075,1.3
2,TEX/TEX201610060,"Thursday, October 6, 2016",3:39 p.m. Local,Globe Life Park in Arlington,47434,2:58,Day,Away,Toronto Blue Jays,TOR,Texas Rangers,TEX,39,10,13,10,9.0,6,2,45,0.333,0.422,0.59,1.012,105,103,0.315,0.35,0.543,,5.1,27,9,9.0,0,67,9,27,14,23,7,0,77,0,0,0.185,3.9,29,1,4,1,1.0,0,6,29,0.138,0.138,0.207,0.345,156,77,-0.186,0.42,0.05,,-3.9,27,11,9.0,2,43,11,23,9,14,3,0,20,1,0,-0.315,-5.1
3,CLE/CLE201610060,"Thursday, October 6, 2016",8:08 p.m. Local,Progressive Field,37762,3:33,Night,Home,Cleveland Indians,CLE,Boston Red Sox,BOS,36,4,10,4,4.0,1,14,37,0.278,0.297,0.667,0.964,139,110,-0.294,0.77,0.735,,-1.0,24,7,8.0,3,52,26,32,8,14,5,0,37,2,1,-0.206,-0.6,32,5,10,5,5.62,1,12,34,0.312,0.353,0.656,1.009,171,92,0.206,1.36,0.621,,0.6,27,10,9.0,3,48,20,24,6,14,8,0,46,0,0,0.295,1.0
4,TEX/TEX201610070,"Friday, October 7, 2016",12:08 p.m. Local,Globe Life Park in Arlington,48019,3:30,Day,Away,Toronto Blue Jays,TOR,Texas Rangers,TEX,33,5,6,5,5.0,2,7,36,0.182,0.25,0.545,0.795,160,82,0.193,1.3,0.524,,0.1,27,6,9.0,0,48,12,22,10,16,4,0,49,6,1,0.306,1.9,40,3,13,3,3.0,3,7,43,0.325,0.372,0.4,0.772,130,102,-0.307,0.5,0.706,,-1.9,27,8,9.0,4,65,16,21,11,22,13,0,40,0,0,-0.194,-0.1
5,CLE/CLE201610070,"Friday, October 7, 2016",4:39 p.m. Local,Progressive Field,37842,3:19,Day,Home,Cleveland Indians,CLE,Boston Red Sox,BOS,29,0,3,0,0.0,3,8,33,0.103,0.212,0.103,0.316,131,79,-0.251,0.4,0.135,,-5.0,24,8,8.0,1,43,7,29,9,12,4,0,29,4,2,-0.249,-1.6,32,6,9,6,5.62,3,8,36,0.281,0.333,0.375,0.708,130,88,0.248,0.54,0.433,,1.6,27,6,9.0,0,53,16,21,13,12,6,0,75,2,0,0.252,5.0
6,WAS/WAS201610070,"Friday, October 7, 2016",5:38 p.m. Local,Nationals Park,43915,3:46,Night,Away,Los Angeles Dodgers,LAD,Washington Nationals,WSN,33,4,8,4,4.0,2,9,37,0.242,0.306,0.424,0.73,165,92,-0.065,1.66,0.514,,-0.6,27,4,9.0,0,51,15,26,14,11,4,0,45,2,0,0.566,1.6,35,3,9,3,3.0,3,11,39,0.257,0.308,0.343,0.651,148,104,-0.568,0.89,0.673,,-1.6,27,11,9.0,2,55,22,27,6,19,9,0,51,0,0,0.066,0.6
7,CHN/CHN201610070,"Friday, October 7, 2016",8:16 p.m. Local,Wrigley Field,42148,2:30,Night,Home,Chicago Cubs,CHC,San Francisco Giants,SFG,31,0,6,0,0.0,0,6,31,0.194,0.194,0.258,0.452,118,73,-0.712,0.93,0.264,,-4.5,24,7,8.0,1,46,11,16,13,13,5,0,82,,,0.212,3.0,27,1,3,1,1.12,0,10,27,0.111,0.111,0.259,0.37,107,74,-0.212,1.28,0.361,,-3.0,27,10,9.0,0,34,20,20,7,10,4,0,77,0,0,0.711,4.5
8,CHN/CHN201610080,"Saturday, October 8, 2016",7:08 p.m. Local,Wrigley Field,42392,3:03,Night,Home,Chicago Cubs,CHC,San Francisco Giants,SFG,32,2,6,2,2.0,0,6,34,0.188,0.182,0.25,0.432,121,84,-0.278,0.56,0.297,,-2.5,24,9,8.0,1,51,8,25,16,11,7,0,28,1,0,-0.222,-1.0,33,5,9,5,5.62,1,6,34,0.273,0.294,0.424,0.718,126,85,0.223,0.83,0.487,,1.0,27,15,9.0,0,46,11,28,8,19,8,0,45,2,0,0.277,2.5
9,WAS/WAS201610090,"Sunday, October 9, 2016",1:08 p.m. Local,Nationals Park,43826,3:55,Day,Home,Washington Nationals,WSN,Los Angeles Dodgers,LAD,34,2,8,2,2.0,6,6,41,0.235,0.366,0.324,0.689,142,97,-0.258,0.98,0.7,,-2.6,24,5,8.0,1,62,10,25,14,14,7,0,40,3,0,-0.242,-0.9,31,5,9,5,5.62,2,14,35,0.29,0.371,0.419,0.791,165,83,0.243,1.26,0.885,,0.9,27,7,9.0,1,33,19,31,7,10,4,0,39,4,0,0.257,2.6
10,TOR/TOR201610090,"Sunday, October 9, 2016",7:39 p.m. Local,Rogers Centre,49555,3:21,Night,Home,Toronto Blue Jays,TOR,Texas Rangers,TEX,34,6,4,6,5.4,4,9,38,0.118,0.211,0.324,0.534,151,88,-0.115,1.51,0.752,,0.8,29,10,9.2,2,47,16,25,11,14,4,0,28,6,2,-0.385,-2.1,37,7,10,5,4.66,4,9,41,0.27,0.341,0.514,0.855,138,94,0.385,1.19,1.405,,2.1,30,10,10.0,2,47,21,26,10,18,6,0,40,2,2,0.117,-0.8
11,LAN/LAN201610100,"Monday, October 10, 2016",1:09 p.m. Local,Dodger Stadium,53901,4:12,Day,Away,Washington Nationals,WSN,Los Angeles Dodgers,LAD,35,8,9,8,8.0,6,11,44,0.257,0.386,0.486,0.872,158,119,0.237,1.09,0.817,,3.7,27,8,9.0,1,59,28,32,5,20,7,0,46,1,0,0.262,1.3,33,3,6,3,3.0,2,9,35,0.182,0.229,0.333,0.562,194,96,-0.264,0.85,0.516,,-1.3,27,3,9.0,2,50,21,25,7,17,7,0,35,4,1,-0.237,-3.7
