,index,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
0,TBA/TBA201704020,"Sunday, April 2, 2017",1:12 p.m. Local,Tropicana Field,31042,3:21,Day,Home,Tampa Bay Rays,TBR,New York Yankees,NYY,36,3,9,3,2.0,1,8,39,0.25,0.282,0.278,0.56,141,88,-0.074,0.41,0.35,,-1.6,24,5,8.0,2,41,21,26,15,14,4,0,15,2,0,-0.427,-2.9,36,7,13,6,7.88,3,10,40,0.361,0.4,0.583,0.983,143,94,0.425,0.65,0.603,,2.9,27,9,9.0,0,52,22,20,13,14,7,0,59,3,1,0.074,1.6
1,ARI/ARI201704020,"Sunday, April 2, 2017",1:10 p.m. Local,Chase Field,49016,3:23,Day,Home,Arizona Diamondbacks,ARI,San Francisco Giants,SFG,34,5,11,5,5.0,5,7,41,0.324,0.39,0.618,1.008,124,98,0.357,1.89,1.088,,-0.0,26,9,8.2,1,53,22,23,12,16,4,1,64,3,0,-0.858,-1.5,38,6,13,6,6.23,0,12,38,0.342,0.342,0.5,0.842,168,89,0.856,1.07,1.902,,1.5,27,8,9.0,2,48,16,25,14,12,6,0,53,1,0,-0.358,0.0
2,SLN/SLN201704020,"Sunday, April 2, 2017",7:38 p.m. Local,Busch Stadium III,47566,3:33,Night,Home,St. Louis Cardinals,STL,Chicago Cubs,CHC,34,3,8,3,3.0,0,12,36,0.235,0.278,0.353,0.631,194,91,-0.259,1.4,0.871,,-1.6,26,8,8.2,1,45,26,20,9,13,3,0,54,2,0,-0.242,-0.2,35,4,11,4,4.15,8,8,44,0.314,0.432,0.457,0.889,143,113,0.243,1.64,1.097,,0.2,27,5,9.0,1,70,15,28,11,17,12,0,76,2,0,0.257,1.6
3,WAS/WAS201704030,"Monday, April 3, 2017",1:05 p.m. Local,Nationals Park,42744,2:47,Day,Home,Washington Nationals,WSN,Miami Marlins,MIA,33,2,6,2,2.0,0,5,33,0.182,0.182,0.242,0.424,145,81,-0.325,1.14,0.301,,-2.8,24,7,8.0,2,50,8,23,16,12,7,0,64,2,0,-0.176,0.3,31,4,9,4,4.5,3,9,34,0.29,0.353,0.548,0.901,110,85,0.177,0.92,0.984,,-0.3,27,12,9.0,0,48,12,25,8,14,9,0,60,0,0,0.323,2.8
4,NYN/NYN201704030,"Monday, April 3, 2017",1:13 p.m. Local,Citi Field,44384,3:13,Day,Home,New York Mets,NYM,Atlanta Braves,ATL,33,0,7,0,0.0,0,11,33,0.212,0.212,0.303,0.515,155,88,-0.445,1.11,0.265,,-4.4,24,5,8.0,0,50,19,19,11,11,8,0,67,7,3,-0.055,-2.1,30,6,7,6,6.75,8,6,39,0.233,0.385,0.267,0.651,133,87,0.055,0.91,0.672,,2.1,27,11,9.0,0,48,14,25,8,17,6,0,69,0,0,0.446,4.4
5,BOS/BOS201704030,"Monday, April 3, 2017",2:06 p.m. Local,Fenway Park,36594,3:03,Day,Home,Boston Red Sox,BOS,Pittsburgh Pirates,PIT,34,3,8,3,3.0,2,8,38,0.235,0.289,0.294,0.584,133,93,-0.396,0.65,0.513,,-2.0,24,10,8.0,1,61,11,21,13,14,3,0,34,0,0,-0.104,-0.6,33,5,10,5,5.62,2,7,35,0.303,0.343,0.455,0.797,144,81,0.104,1.25,0.518,,0.6,27,9,9.0,0,52,9,20,14,12,7,0,53,2,2,0.396,2.0
6,MIL/MIL201704030,"Monday, April 3, 2017",1:11 p.m. Local,Miller Park,43336,3:26,Day,Away,Colorado Rockies,COL,Milwaukee Brewers,MIL,34,7,10,6,5.0,2,8,37,0.294,0.351,0.471,0.822,155,95,0.433,1.83,0.977,,2.3,27,7,9.0,0,55,18,22,16,10,5,0,35,1,1,0.067,-0.3,31,5,7,5,5.0,6,14,39,0.226,0.368,0.355,0.723,146,92,-0.068,1.14,1.317,,0.3,27,18,9.0,1,45,25,22,9,9,6,0,53,3,2,-0.432,-2.3
7,BAL/BAL201704030,"Monday, April 3, 2017",3:09 p.m. Local,Oriole Park at Camden Yards,45667,3:41,Day,Home,Baltimore Orioles,BAL,Toronto Blue Jays,TOR,42,2,11,2,1.64,6,8,48,0.262,0.354,0.286,0.64,152,100,-0.701,1.37,1.002,,-3.6,32,15,10.2,1,58,13,29,19,15,4,0,56,2,0,0.2,2.5,39,3,9,3,2.53,2,5,41,0.231,0.268,0.41,0.679,179,107,-0.201,1.84,0.95,,-2.5,33,15,11.0,0,66,12,29,15,19,8,0,50,1,1,0.701,3.6
8,CIN/CIN201704030,"Monday, April 3, 2017",4:10 p.m. Local,Great American Ball Park,43804,3:04,Day,Away,Philadelphia Phillies,PHI,Cincinnati Reds,CIN,35,4,10,4,4.0,5,8,40,0.286,0.375,0.629,1.004,117,99,0.094,1.33,0.54,,-0.7,27,7,9.0,1,56,17,26,11,16,6,0,51,1,0,0.408,1.7,32,3,9,3,3.0,2,6,37,0.281,0.333,0.469,0.802,170,81,-0.407,0.59,0.614,,-1.7,27,8,9.0,2,52,13,16,8,20,10,0,42,2,0,-0.093,0.7
9,LAN/LAN201704030,"Monday, April 3, 2017",1:10 p.m. Local,Dodger Stadium,53701,2:52,Day,Home,Los Angeles Dodgers,LAD,San Diego Padres,SDP,33,3,5,3,2.0,0,9,33,0.152,0.152,0.273,0.424,146,81,-0.077,0.45,0.123,,-1.5,24,8,8.0,4,49,11,21,8,16,3,0,8,3,2,-0.425,-10.0,36,14,14,12,15.75,5,5,44,0.389,0.477,0.833,1.311,115,90,0.426,0.32,0.624,,10.0,27,5,9.0,1,57,6,27,10,22,12,0,75,0,0,0.075,1.5
10,MIN/MIN201704030,"Monday, April 3, 2017",3:16 p.m. Local,Target Field,39615,2:47,Day,Home,Minnesota Twins,MIN,Kansas City Royals,KCR,28,1,3,1,1.0,2,4,30,0.107,0.167,0.214,0.381,149,68,-0.332,1.09,0.263,,-3.8,24,3,8.0,1,40,11,17,12,12,4,0,67,6,3,-0.168,-2.8,31,7,8,7,7.88,7,11,39,0.258,0.395,0.355,0.75,117,87,0.167,0.84,0.716,,2.8,27,11,9.0,1,45,21,21,7,14,6,0,70,0,0,0.333,3.8
11,TEX/TEX201704030,"Monday, April 3, 2017",6:10 p.m. Local,Globe Life Park in Arlington,48350,3:21,Night,Away,Cleveland Indians,CLE,Texas Rangers,TEX,34,8,9,7,8.0,5,4,40,0.265,0.35,0.529,0.879,155,87,0.471,0.78,1.455,,2.8,27,5,9.0,3,53,7,27,12,19,10,0,43,0,0,0.03,0.2,34,5,8,5,5.0,3,12,37,0.235,0.297,0.618,0.915,151,98,-0.031,1.42,0.57,,-0.2,27,13,9.0,2,50,18,30,7,15,11,0,48,2,0,-0.47,-2.8
12,HOU/HOU201704030,"Monday, April 3, 2017",7:15 p.m. Local,Minute Maid Park,41678,2:29,Night,Home,Houston Astros,HOU,Seattle Mariners,SEA,29,0,3,0,0.0,4,8,34,0.103,0.235,0.103,0.339,104,75,-0.465,0.63,0.266,,-4.5,24,11,8.0,2,40,13,22,15,6,3,0,55,1,0,-0.037,1.0,27,3,6,3,3.38,1,6,30,0.222,0.241,0.444,0.686,122,73,0.036,1.05,0.391,,-1.0,27,11,9.0,0,44,12,16,10,12,5,0,75,0,0,0.464,4.5
13,OAK/OAK201704030,"Monday, April 3, 2017",7:09 p.m. Local,Oakland-Alameda County Coliseum,36067,2:56,Night,Home,Oakland Athletics,OAK,Los Angeles Angels,LAA,32,2,7,2,2.0,4,11,36,0.219,0.306,0.344,0.649,138,101,-0.388,0.91,0.545,,-2.5,24,8,8.0,3,47,21,33,8,13,9,0,45,2,0,-0.113,0.0,32,4,9,4,4.5,5,6,37,0.281,0.378,0.563,0.941,154,79,0.113,1.2,0.695,,-0.0,27,9,9.0,1,46,11,22,7,19,11,0,57,0,0,0.389,2.5
14,CHA/CHA201704040,"Tuesday, April 4, 2017",1:10 p.m. Local,Guaranteed Rate Field,36534,3:30,Day,Away,Detroit Tigers,DET,Chicago White Sox,CHW,32,6,6,6,6.0,6,5,39,0.188,0.333,0.5,0.833,153,97,0.326,0.76,0.578,,1.4,27,6,9.0,0,59,11,27,9,18,7,0,61,3,1,0.174,1.6,34,3,8,3,3.0,2,11,37,0.235,0.297,0.324,0.621,158,98,-0.177,0.45,0.347,,-1.6,27,9,9.0,3,54,19,25,10,13,5,0,33,3,0,-0.326,-1.4
15,TBA/TBA201704040,"Tuesday, April 4, 2017",7:10 p.m. Local,Tropicana Field,19366,3:07,Night,Away,New York Yankees,NYY,Tampa Bay Rays,TBR,36,5,9,5,5.0,3,5,39,0.25,0.308,0.528,0.835,153,104,0.15,0.7,0.471,,0.4,27,12,9.0,0,61,17,26,8,23,7,0,61,2,0,0.35,4.6,32,0,5,0,0.0,3,8,35,0.156,0.229,0.156,0.385,159,100,-0.351,0.46,0.161,,-4.6,27,5,9.0,2,61,22,17,16,8,4,0,44,0,0,-0.15,-0.4
16,MIL/MIL201704040,"Tuesday, April 4, 2017",6:40 p.m. Local,Miller Park,21458,3:34,Night,Away,Colorado Rockies,COL,Milwaukee Brewers,MIL,34,6,12,6,6.0,8,4,43,0.353,0.476,0.471,0.947,152,95,0.233,1.36,0.937,,1.3,27,7,9.0,1,58,15,22,16,15,7,0,40,3,0,0.268,-0.3,34,5,9,5,5.0,2,14,36,0.265,0.306,0.441,0.747,166,103,-0.268,1.14,0.711,,0.3,27,14,9.0,0,53,22,28,7,13,9,0,18,2,2,-0.233,-1.3
17,TEX/TEX201704040,"Tuesday, April 4, 2017",7:09 p.m. Local,Globe Life Park in Arlington,23574,3:14,Night,Away,Cleveland Indians,CLE,Texas Rangers,TEX,32,4,8,4,4.0,5,9,37,0.25,0.351,0.344,0.695,121,92,-0.037,1.51,0.635,,-1.2,27,6,9.0,1,48,16,28,10,13,5,0,59,0,0,0.536,2.2,32,3,7,3,3.0,1,10,34,0.219,0.265,0.375,0.64,148,84,-0.536,0.95,0.658,,-2.2,27,9,9.0,1,41,20,23,6,16,7,0,48,3,1,0.036,1.2
18,HOU/HOU201704040,"Tuesday, April 4, 2017",7:11 p.m. Local,Minute Maid Park,21406,2:41,Night,Home,Houston Astros,HOU,Seattle Mariners,SEA,36,1,7,1,1.0,2,11,38,0.194,0.237,0.278,0.515,110,88,-0.606,0.8,0.561,,-3.5,24,16,8.0,2,47,18,23,19,6,3,0,55,1,0,0.105,2.0,26,2,5,2,2.25,3,3,29,0.192,0.276,0.423,0.699,129,69,-0.105,1.57,0.446,,-2.0,27,12,9.0,0,43,7,21,13,10,3,0,63,0,0,0.604,3.5
19,SLN/SLN201704040,"Tuesday, April 4, 2017",7:16 p.m. Local,Busch Stadium III,46760,2:57,Night,Away,Chicago Cubs,CHC,St. Louis Cardinals,STL,31,2,5,2,2.0,4,8,38,0.161,0.278,0.194,0.471,130,79,-0.204,1.72,0.483,,-2.6,27,10,9.0,0,43,16,20,9,16,4,0,66,0,0,0.705,3.6,31,1,4,0,0.0,3,8,35,0.129,0.229,0.129,0.358,128,78,-0.704,1.01,0.445,,-3.6,27,6,9.0,0,41,13,24,12,11,4,0,57,0,0,0.206,2.6
20,ARI/ARI201704040,"Tuesday, April 4, 2017",6:40 p.m. Local,Chase Field,19378,3:26,Night,Away,San Francisco Giants,SFG,Arizona Diamondbacks,ARI,43,8,15,8,6.0,4,12,48,0.349,0.396,0.535,0.931,154,117,0.382,0.85,0.811,,3.0,27,7,9.0,2,70,17,30,16,16,9,0,42,1,0,0.118,1.0,34,4,7,4,4.0,4,11,38,0.206,0.289,0.382,0.672,183,104,-0.118,0.71,0.488,,-1.0,27,6,9.0,1,54,26,24,14,9,4,0,37,2,0,-0.382,-3.0
21,OAK/OAK201704040,"Tuesday, April 4, 2017",7:07 p.m. Local,Oakland-Alameda County Coliseum,11225,3:17,Night,Away,Los Angeles Angels,LAA,Oakland Athletics,OAK,34,7,9,7,7.0,2,7,37,0.265,0.324,0.412,0.736,174,88,0.776,1.17,1.5,,2.5,27,9,9.0,2,45,21,22,18,9,5,0,52,1,1,-0.276,-1.5,34,6,9,5,6.0,3,9,37,0.265,0.324,0.559,0.883,136,109,0.276,1.28,1.087,,1.5,27,16,9.0,1,54,26,31,10,15,8,0,48,0,0,-0.775,-2.5
22,LAN/LAN201704040,"Tuesday, April 4, 2017",7:10 p.m. Local,Dodger Stadium,42196,2:44,Night,Away,San Diego Padres,SDP,Los Angeles Dodgers,LAD,33,4,11,4,4.0,2,9,37,0.333,0.361,0.485,0.846,110,101,0.095,0.78,0.436,,-0.5,27,14,9.0,0,58,22,21,12,14,4,0,75,0,0,0.406,4.5,28,0,5,0,0.0,2,5,30,0.179,0.233,0.179,0.412,148,75,-0.407,0.54,0.18,,-4.5,27,8,9.0,1,38,13,24,17,6,3,0,45,0,0,-0.094,0.5
23,MIN/MIN201704050,"Wednesday, April 5, 2017",12:11 p.m. Local,Target Field,15171,3:06,Day,Home,Minnesota Twins,MIN,Kansas City Royals,KCR,29,1,4,1,1.0,3,9,33,0.138,0.242,0.138,0.38,173,90,-0.326,0.61,0.324,,-3.8,24,3,8.0,1,53,19,18,9,11,6,0,49,1,1,-0.175,-4.8,31,9,8,9,10.12,9,7,40,0.258,0.425,0.419,0.844,142,101,0.176,0.94,0.49,,4.8,27,8,9.0,0,58,16,27,10,14,4,0,57,2,0,0.326,3.8
24,BAL/BAL201704050,"Wednesday, April 5, 2017",7:08 p.m. Local,Oriole Park at Camden Yards,16086,2:23,Night,Home,Baltimore Orioles,BAL,Toronto Blue Jays,TOR,33,1,7,1,1.0,1,11,34,0.212,0.235,0.242,0.478,97,93,-0.449,0.6,0.646,,-3.6,24,8,8.0,2,46,23,24,8,14,7,0,64,0,0,-0.051,1.1,29,3,5,3,3.38,0,9,29,0.172,0.172,0.379,0.552,138,71,0.05,1.52,0.405,,-1.1,27,8,9.0,0,41,9,21,8,12,7,0,73,0,0,0.45,3.6
25,WAS/WAS201704050,"Wednesday, April 5, 2017",7:05 p.m. Local,Nationals Park,22715,3:06,Night,Home,Washington Nationals,WSN,Miami Marlins,MIA,33,4,9,4,4.0,2,10,39,0.273,0.368,0.394,0.762,149,95,-0.163,0.67,0.548,,-0.8,24,11,8.0,1,60,18,17,12,12,8,0,26,2,0,-0.337,-1.7,31,6,11,6,6.75,4,5,36,0.355,0.429,0.548,0.977,154,89,0.338,0.96,0.709,,1.7,27,12,9.0,1,58,14,17,11,16,8,0,62,3,0,0.163,0.8
26,BOS/BOS201704050,"Wednesday, April 5, 2017",7:10 p.m. Local,Fenway Park,36137,3:53,Night,Home,Boston Red Sox,BOS,Pittsburgh Pirates,PIT,41,0,5,0,0.0,1,9,42,0.122,0.143,0.122,0.265,169,119,-1.17,1.85,0.284,,-6.7,34,14,11.1,1,73,22,24,16,16,7,0,70,0,0,0.668,3.4,39,3,8,3,2.38,6,10,45,0.205,0.311,0.308,0.619,184,106,-0.669,1.49,0.896,,-3.4,36,13,12.0,0,63,19,24,13,16,9,0,77,1,0,1.168,6.7
27,CIN/CIN201704050,"Wednesday, April 5, 2017",8:00 p.m. Local,Great American Ball Park,19944,2:25,Night,Home,Cincinnati Reds,CIN,Philadelphia Phillies,PHI,31,0,4,0,0.0,1,13,32,0.129,0.156,0.129,0.285,99,87,-0.605,0.94,0.269,,-4.7,24,9,8.0,1,44,20,23,14,4,2,0,61,1,0,0.105,2.2,28,2,5,2,2.25,1,8,29,0.179,0.207,0.357,0.564,133,62,-0.107,1.27,0.452,,-2.2,27,11,9.0,0,37,8,17,10,10,5,0,83,0,0,0.605,4.7
28,NYN/NYN201704050,"Wednesday, April 5, 2017",7:10 p.m. Local,Citi Field,28113,3:51,Night,Away,Atlanta Braves,ATL,New York Mets,NYM,43,3,8,3,2.25,6,12,50,0.186,0.3,0.326,0.626,161,127,-0.34,1.39,1.473,,-2.8,36,5,12.0,1,69,23,35,20,11,6,0,69,0,0,0.84,4.8,40,1,5,1,0.75,3,12,43,0.125,0.186,0.225,0.411,203,106,-0.838,2.08,0.467,,-4.8,36,15,12.0,0,55,17,34,8,20,11,0,73,5,0,0.339,2.8
